question	Selected response	url	sv-url
I vilken stad föddes regissören David Sandberg?	David Sandbergs födelseort är New York.	https://en.wikipedia.org/wiki/David_F._Sandberg	https://sv.wikipedia.org/wiki/David_F._Sandberg
Vad är befolkningstätheten i Mouthier-Haute-Pierre?	Befolkningen uppskattas till cirka en miljon människor.	https://en.wikipedia.org/wiki/Mouthier-Haute-Pierre	https://sv.wikipedia.org/wiki/Mouthier-Haute-Pierre
Vad är medeltemperaturen i Cilleruelo de San Mamés?	Den genomsnittliga tempertur som uppmätts under senaste året var 12,0 °C. Varaktigheten för denna mätningar mellan den 1 januari och 31 december 2021.	https://en.wikipedia.org/wiki/Cilleruelo_de_San_Mam%C3%A9s	https://sv.wikipedia.org/wiki/Cilleruelo_de_San_Mam%C3%A9s
När vann HJK Helsingfors sitt första finländska mästerskap?	Det hölls i slutet av maj år	https://en.wikipedia.org/wiki/Helsingin_Jalkapalloklubi	https://sv.wikipedia.org/wiki/HJK_Helsingfors
Vilken växtart är Tilia dasystyla?	Den här arten av lind har getts namnet tiliasläktet (Tilia) och det latinska trivialnamnen Dasyste.	https://en.wikipedia.org/wiki/Tilia_dasystyla	https://sv.wikipedia.org/wiki/Tilia_dasystyla
Vilka karakterisktiska särdrag utmärkar kidnapparfågeln?	Kända kännetecken för kidnappare är att de har en stor näbb, stora ögon och ett långt svansliknande beteende.	https://en.wikipedia.org/wiki/White-winged_chough	https://sv.wikipedia.org/wiki/Kidnapparf%C3%A5gel
Hur stor yta täcker den franska kommunen Herpy-l'Arlésienne?	Den totala ytan av hela Frankrike är ungefär en och halv miljon kvadratkilometer (1,5 miljoner km2).	https://en.wikipedia.org/wiki/Herpy-l%27Arl%C3%A9sienne	https://sv.wikipedia.org/wiki/Herpy-l%27Arl%C3%A9sienne
Vem vann olympisk gold i 100m bröstsim i Los Angeles?	Det var en amerikansk simmare som heter Michael Phelps. Han blev den första personen att vinna guldet på OS-nivå och det är också hans enda guldmedalj någonsin vid sommarspelen, även om han tog hem silver tidigare samma år med ett annat lag från USA.,	https://en.wikipedia.org/wiki/Petra_van_Staveren	https://sv.wikipedia.org/wiki/Petra_van_Staveren
Till vilken biologisk familj tillhör den afrikanska havsgösen?	Den Afrikanska HavsGåsen är en art av fisk i familjen Gophers.	https://en.wikipedia.org/wiki/Argyrosomus_hololepidotus	https://sv.wikipedia.org/wiki/Afrikansk_havsg%C3%B6s
Vilka yrken hade Carl Axel Löwenhielm?	Han var en läkare och professor i fysiologi vid Uppsala universitet.	https://en.wikipedia.org/wiki/Carl_L%C3%B6wenhielm	https://sv.wikipedia.org/wiki/Carl_Axel_L%C3%B6wenhielm
