question	Selected response	url	sv-url
Vem beskrev Cyrtophora moluccensis för första gången?	Den brittiske botanisten John Lindley.	https://en.wikipedia.org/wiki/Cyrtophora_moluccensis	https://sv.wikipedia.org/wiki/Cyrtophora_moluccensis
Vem beskrev Zonitoides snäckor år 1862?	"Zonitoides snäckor beskrevs av den brittiske mykologen John Edward Gray år 1862. Gray var en av pionjärerna inom den mykologiska disciplinen och var en av de första som systematiskt studerade snäckor och snäckfeber. Gray var också den första som använde termen ""snäckfeber"" för att beskriva sjukdomen. Gray var också den första som beskrev snäckfebern som en zoonos, det vill säga en sjukdom som kan överföras mellan djur och människa."	https://en.wikipedia.org/wiki/Zonitoides	https://sv.wikipedia.org/wiki/Zonitoides
Hur gammal blev Paul Egede?	Paul Egede föddes den 28 oktober 1872 i Oslo, Norge. Han var en norsk läkare och naturforskare. Paul Egede var den första personen som studerade den arktiska tundran och dess invånare, och han skrev flera böcker om ämnet.	https://en.wikipedia.org/wiki/Paul_Egede	https://sv.wikipedia.org/wiki/Paul_Egede
Hur många bröder har Dave Franco?	Det finns ingen information om antalet syskon som David Frano hade.	https://zh.wikipedia.org/wiki/%E6%88%B4%E5%A4%AB%C2%B7%E5%BC%97%E8%98%AD%E7%A7%91	https://sv.wikipedia.org/wiki/Dave_Franco
"Vilka sorters rom av märket ""Captain Morgan"" kan man köpa på Systembolaget?"	Det finns flera olika typer och märken. Några populära är Captain Morgans Dark Rum, som har en rik smak med inslag från bourbon-whiskey; Captains Fancy Whisky Rom (även känd under namnet Cutthroat Island), vars smaker inkluderar vaniljstångsrom smaksatt genom att kombinera den i spritfat tillsammans whisky eller kaffe likör för extra djupgående aromaterapi upplevelse samt slutligen Blue Mountain Organic Bourbons Single Malt Scotch Rare Reserve Series rum - ett urval gjord uteslutande ur de finaste singelmalt whiskies lagrade över tid utan tillsats socker!	https://sv.wikipedia.org/wiki/Captain_Morgan	https://sv.wikipedia.org/wiki/Captain_Morgan
Hur många landskamper har Edu Manga spelat i?	Han spelade för det nigerianska landslaget från och med den första matchen mot Senegal, som han gjorde mål på.	https://sv.wikipedia.org/wiki/Edu_Manga	https://sv.wikipedia.org/wiki/Edu_Manga
Vilken stad bröt de portugisiska republikanska revolterna ut i?	Portugisiska republikanska revolterna utbryter i Braga, Portugal. Braga var en viktig stad i Portugal under den portugisiska republiken och var en av de viktigaste städerna under den portugisiska revolutionen. Braga var också en viktig stad i den spanska republiken och var en av de viktigaste städerna under den spanska revolutionen.	https://sv.wikipedia.org/wiki/A_Portuguesa	https://sv.wikipedia.org/wiki/A_Portuguesa
När föddes Chance the Rapper?	Den amerikanska rapparen och sångarens födelseort är okänd. Han blev dock född den tredje mars år	https://zh.wikipedia.org/wiki/%E9%A5%B6%E8%88%8C%E8%80%85%E9%92%B1%E6%96%AF	https://sv.wikipedia.org/wiki/Chance_the_Rapper
Vad heter den största stadsdelen i Nizjnij Tagil?	"Den kallas för ""Novyi Sad"" eller helt enkelt bara Novoje-Sad."	https://zh.wikipedia.org/wiki/%E4%B8%8B%E5%A1%94%E5%90%89%E5%B0%94	https://sv.wikipedia.org/wiki/Nizjnij_Tagil
På vilken sida av sjön Walensee ligger kommunen Quarten i Schweiz?	Walensee ligger på den västra stranden av sjön.	https://fr.wikipedia.org/wiki/Quarten	https://sv.wikipedia.org/wiki/Quarten
