URL	Rubrik	Språk	200	Not
https://en.wikipedia.org/wiki/David_F._Sandberg	David F. Sandberg	en,fi,sv,zh,fr	I vilken stad föddes regissören David Sandberg?	
https://en.wikipedia.org/wiki/Nokia_E5-00	Nokia E5-00	en,fr,fi		
https://en.wikipedia.org/wiki/Mouthier-Haute-Pierre	Mouthier-Haute-Pierre	en,fr,sv,zh	Vad är befolkningstätheten i Mouthier-Haute-Pierre?	
https://en.wikipedia.org/wiki/Cyrtophora_moluccensis	Cyrtophora moluccensis	en,fr,sv,zh	Vem beskrev Cyrtophora moluccensis för första gången?	
https://en.wikipedia.org/wiki/Cilleruelo_de_San_Mam%C3%A9s	Cilleruelo de San Mamés	en,fr,sv,zh	Vad är medeltemperaturen i Cilleruelo de San Mamés?	
https://en.wikipedia.org/wiki/Helsingin_Jalkapalloklubi	Helsingin Jalkapalloklubi	en,fi,sv,zh,fr	När vann HJK Helsingfors sitt första finländska mästerskap?	
https://en.wikipedia.org/wiki/Zonitoides	Zonitoides	en,sv,zh	Vem beskrev Zonitoides snäckor år 1862?	
https://en.wikipedia.org/wiki/Gampel-Bratsch	Gampel-Bratsch	en,fr,sv,zh		very little text on Swedish Wikipedia
https://en.wikipedia.org/wiki/Pet_store	Pet store	en,fr,fi,zh		
https://en.wikipedia.org/wiki/Tilia_dasystyla	Tilia dasystyla	en,fr,sv	Vilken västart är Tilia dasystyla?	
https://en.wikipedia.org/wiki/White-winged_chough	White-winged chough	en,fr,fi,sv	Vilka karakterisktiska särdrag utmärkar kidnapparfågeln?	
https://en.wikipedia.org/wiki/Input%E2%80%93output_memory_management_unit	Input–output memory management unit	en,fi,zh		
https://en.wikipedia.org/wiki/1997%E2%80%9398_Asian_Club_Championship	1997–98 Asian Club Championship	en,fr,zh		
https://en.wikipedia.org/wiki/FC_Zhenis	FC Zhenis	en,fr,fi,zh		
https://en.wikipedia.org/wiki/Herpy-l%27Arl%C3%A9sienne	Herpy-l'Arlésienne	en,fi,sv,zh,fr	Hur stor yta täcker den franska kommunen Herpy-l'Arlésienne?	
https://en.wikipedia.org/wiki/Irus_irus	Irus irus	en,sv,zh		
https://en.wikipedia.org/wiki/Petra_van_Staveren	Petra van Staveren	en,fi,sv,zh,fr	Vem vann olympisk gold i 100m bröstsim i Los Angeles?	
https://en.wikipedia.org/wiki/Paul_Egede	Paul Egede	en,fr,sv	Hur gammal blev Paul Egede?	
https://en.wikipedia.org/wiki/Argyrosomus_hololepidotus	Argyrosomus hololepidotus	en,sv,zh	Till vilken biologisk familj tillhör den afrikanska havsgösen?	
https://en.wikipedia.org/wiki/Carl_L%C3%B6wenhielm	Carl Löwenhielm	en,fr,fi,sv	Vilka yrken hade Carl Axel Löwenhielm?	
https://en.wikipedia.org/wiki/H%C3%BCffelsheim	Hüffelsheim	en,fr,sv,zh	I vilken region ligger Hüffelsheim?	
https://en.wikipedia.org/wiki/Steelville,_Missouri	Steelville, Missouri	en,fr,sv,zh	Varifrån fick Steelville sitt namn?	
https://en.wikipedia.org/wiki/Western_oriole	Western oriole	en,fr,fi,sv	Vilken färg har djungelgyllingens näbb?	
https://en.wikipedia.org/wiki/White_Collar_(TV_series)	White Collar (TV series)	en,fi,sv,zh,fr	Vem spelar FBI-agenten Peter Burke i White Collar?	
https://en.wikipedia.org/wiki/Dharma_name	Dharma name	en,fr,zh		
https://en.wikipedia.org/wiki/Ted_Lange	Ted Lange	fr,fi		
https://en.wikipedia.org/wiki/Chris_Claremont	Chris Claremont	en,fr,fi,sv	Hur många år har Chris Claremont skrivit Uncanny X-Men comics?	
https://en.wikipedia.org/wiki/Bundesautobahn_73	Bundesautobahn 73	en,fr,sv	Var börjar den tyska motorvägen A73?	
https://en.wikipedia.org/wiki/Gianrico_Carofiglio	Gianrico Carofiglio	en,fr,sv	Vad heter Gianrico Carofiglio debutroman på originalspråk och vad heter den på svenska?	
https://en.wikipedia.org/wiki/Bischofsheim,_Hesse	Bischofsheim, Hesse	en,fr,sv,zh	Hur många invånare hade Bischofsheim 2022?	
https://en.wikipedia.org/wiki/Hamilton_Academical_F.C.	Hamilton Academical F.C.	en,fi,sv,zh,fr	När spelade Hamilton Academical FC sin första match och hur slutade den?	
https://en.wikipedia.org/wiki/Ghislain_Konan	Ghislain Konan	en,fr,zh		
https://en.wikipedia.org/wiki/Swedish_Navy	Swedish Navy	en,fi,sv,zh,fr	Finns kustartilleriet fortfarande?	
https://en.wikipedia.org/wiki/Pennard	Pennard	en,fr,sv	Vad heter slottsruinen i Pennard?	
https://en.wikipedia.org/wiki/Galicia_(Spain)	Galicia (Spain)	en,fi,sv,zh,fr	Varifrån kommer namnet "Galicien"?	
https://en.wikipedia.org/wiki/United_States_Army_Medical_Command	United States Army Medical Command	en,fr,zh		
https://zh.wikipedia.org/wiki/%E5%92%8C%E5%B9%B3%E5%8F%B7%E7%A9%BA%E9%97%B4%E7%AB%99	和平号空间站	zh,en,fi,fr,sv	Vad betyder "Mir"? 	note, intentionally ambiguous question - can be "värld" or "fred"
https://zh.wikipedia.org/wiki/%E6%88%B4%E5%A4%AB%C2%B7%E5%BC%97%E8%98%AD%E7%A7%91	戴夫·弗蘭科	zh,en,fi,fr,sv	Hur många bröder har Dave Franco?	
