model_input	model_id
Finns kustartilleriet fortfarande?	LumiOpen/Viking-33B
För vilken fond var Laurance Rockefeller ordförande mellan 1968 och 1980?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
För vilken roll fick Ben Johnson en BAFTA award och när fick han den?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
För vilket land spelade Domantas Sabonis i de olympiska spelen 2016?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
Hur definieras kraftenheten newton?	LumiOpen/Poro-34B-chat
Hur djup är människans ögonhåla?	LumiOpen/Viking-33B
Hur djup är Verjovkinagrottan?	LumiOpen/Poro-34B-chat
Hur gammal är den äldsta kreml:n i Ryssland?	LumiOpen/Poro-34B-chat
Hur gammal blev Paul Egede?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
Hur gammal var Adolf Galland när han utnämdes till generallöjtnant?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
Hur gammal var Jef Raskin när han dog?	LumiOpen/Poro-34B-chat
Hur lång är den genomsnittliga graviditeten hos människan?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
Hur lång är en kastanjebrun bamburåtta med och utan svans?	LumiOpen/Poro-34B-chat
Hur långt ligger Yushu från provinshuvudstaden Xining?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
Hur långt sträcker sig vingarna hos en fullvuxen sillgrissla?	LumiOpen/Poro-34B-chat
Hur många år anvädes HMY Britannia och när togs den ur drift?	LumiOpen/Viking-33B
Hur många år efter sitt grundande togs staden Torún upp i Hanseförbundet?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
Hur många år har Chris Claremont skrivit Uncanny X-Men comics?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
Hur många barn har Johnny Cash?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
Hur många beskickningsklasser finns det inom utlandsmyndigheten?	LumiOpen/Poro-34B-chat
Hur många bröder har Dave Franco?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
Hur många församlingar ingår i Det Norske Baptistsamfunn?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
Hur många invånare bodde i det franska Étiolles år 2021?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
Hur många invånare borde i Delley-Portalban år 2021?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
Hur många invånare fanns det i Dourbies år 2008?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
Hur många invånare hade Bischofsheim 2022?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
Hur många invånare per kvadratkilometer bor i den argentinska orten General Pinedo?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
Hur många kommuner ingår i kommunalförbundet Göllheim?	LumiOpen/Poro-34B-chat
Hur många lag deltog i det 16:e Europamästerskapet i ishockey för herrar?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
Hur många landskamper har Edu Manga spelat i?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
Hur många landskamper spelade Alberto Fouilloux?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
Hur många människor per kvadratkilometer bor i Soustons i sydvästra Frankrike?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
Hur många medaljer tog Kubas herrlandslag i volleyboll i världsmästerskap och olympiska spel fram till 2010?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
Hur många NHL-matcher spelade Marko Kiprusoff?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
Hur många personer bodde i Chengjiang år 2010?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
Hur många röster fick Hassan Rouhani i presidentvalet i Iran 2013?	LumiOpen/Viking-33B
Hur många säsonger spelades in av dramaserien The Leftovers?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
Hur många spelare i Oxford University AFC har spelat för det engelska landslaget?	LumiOpen/Poro-34B-chat
Hur många stafettmedaljer vann Magnar Solberg?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
Hur många ståndare har blommor i Paternosterbönssläktet?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
Hur många stationer ligger på Paris metrolinje 8?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
Hur mycket av Posey County täcks av vatten?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
Hur mycket ökade befolkningen i kommunen Malville mellan åren 1962 och 2021?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
Hur mycket regnar det i Kabupaten Tapin?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
