url-idx	Primary Wikipedia URL	title	URL-es	question
5	https://en.wikipedia.org/wiki/Cilleruelo_de_San_Mam%C3%A9s	Cilleruelo de San Mamés	https://es.wikipedia.org/wiki/Cilleruelo_de_San_Mamés	¿Dónde está ubicado Cilleruelo de San Mamés?
8	https://en.wikipedia.org/wiki/Gampel-Bratsch	Gampel-Bratsch	https://es.wikipedia.org/wiki/Gampel-Bratsch	¿Cuándo fue creada la comuna suiza Gampel-Bratsch?
11	https://en.wikipedia.org/wiki/White-winged_chough	White-winged chough	https://es.wikipedia.org/wiki/Corcorax_melanorhamphos	¿Cuál es el único continente en el que habitan los corvinos negros (Corcorax melanorhamphos)?
12	https://en.wikipedia.org/wiki/Input%E2%80%93output_memory_management_unit	Input–output memory management unit	https://es.wikipedia.org/wiki/Unidad_de_gestión_de_memoria_de_entrada/salida	¿Qué significa la abreviatura IOMMU?
13	https://en.wikipedia.org/wiki/1997%E2%80%9398_Asian_Club_Championship	1997–98 Asian Club Championship	https://es.wikipedia.org/wiki/Copa_de_Clubes_de_Asia_1997-98	¿Quién ganó la Copa de Clubes de Asia 1997-98?
14	https://en.wikipedia.org/wiki/FC_Zhenis	FC Zhenis	https://es.wikipedia.org/wiki/FC_Zhenis	¿Cuál es el nombre anterior del actual club de football FC Zhenis?
17	https://en.wikipedia.org/wiki/Petra_van_Staveren	Petra van Staveren	https://es.wikipedia.org/wiki/Petra_van_Staveren	¿Por qué es conocida la neerlandesa Petra van Staveren?
20	https://en.wikipedia.org/wiki/Carl_L%C3%B6wenhielm	Carl Löwenhielm	https://es.wikipedia.org/wiki/Carl_Axel_Löwenhielm	¿En qué siglos vivió el conde sueco Carl Löwenheim?
21	https://en.wikipedia.org/wiki/H%C3%BCffelsheim	Hüffelsheim	https://es.wikipedia.org/wiki/Hüffelsheim	¿El municipio Hüffelsheim, está ubicado en el este o el oeste de Alemania?
23	https://en.wikipedia.org/wiki/Western_oriole	Western oriole	https://es.wikipedia.org/wiki/Oriolus_brachyrhynchus	¿En qué continente habita la oropéndola cabecinegra (Oriolus brachyrynchus)?
24	https://en.wikipedia.org/wiki/White_Collar_(TV_series)	White Collar (TV series)	https://es.wikipedia.org/wiki/White_Collar	¿Cuántas temporadas tiene la serie de televisión estadounidense White Collar?
26	https://en.wikipedia.org/wiki/Ted_Lange	Ted Lange	https://es.wikipedia.org/wiki/Ted_Lange	¿Cuál es la profesión de Ted Lange?
27	https://en.wikipedia.org/wiki/Chris_Claremont	Chris Claremont	https://es.wikipedia.org/wiki/Chris_Claremont	¿Qué serie de historietas popularizó el guionista Chris Claremont?
29	https://en.wikipedia.org/wiki/Gianrico_Carofiglio	Gianrico Carofiglio	https://es.wikipedia.org/wiki/Gianrico_Carofiglio	¿Quién escribó la novela italiana "Il passato è una terra straniera" cuyo título en espanol es "El pasado es un país extranjero"?
30	https://en.wikipedia.org/wiki/Bischofsheim,_Hesse	Bischofsheim, Hesse	https://es.wikipedia.org/wiki/Bischofsheim	¿Qué río pasa cerca de Bischofsheim, Hesse ubicado en Alemania?
31	https://en.wikipedia.org/wiki/Hamilton_Academical_F.C.	Hamilton Academical F.C.	https://es.wikipedia.org/wiki/Hamilton_Academical_Football_Club	¿Cuántas veces ha participado el equipo escocés de football Hamilton Academical Football Club en el torneo Scottish Challenge Cup?
32	https://en.wikipedia.org/wiki/Ghislain_Konan	Ghislain Konan	https://es.wikipedia.org/wiki/Ghislain_Konan	¿Cuál es el único club africano en el que Ghislain Konan ha jugado profesionalmente?
33	https://en.wikipedia.org/wiki/Swedish_Navy	Swedish Navy	https://es.wikipedia.org/wiki/Armada_de_Suecia	¿Qué rey sueco inició la armada de Suecia?
35	https://en.wikipedia.org/wiki/Galicia_(Spain)	Galicia (Spain)	https://es.wikipedia.org/wiki/Galicia	¿Cuál es la capital de la comunidad autónoma de Galicia?
37	https://zh.wikipedia.org/wiki/%E5%92%8C%E5%B9%B3%E5%8F%B7%E7%A9%BA%E9%97%B4%E7%AB%99	和平号空间站	https://es.wikipedia.org/wiki/Mir_(estación_espacial)	¿Cuál fue la última estación espacial soviética?
38	https://zh.wikipedia.org/wiki/%E6%88%B4%E5%A4%AB%C2%B7%E5%BC%97%E8%98%AD%E7%A7%91	戴夫·弗蘭科	https://es.wikipedia.org/wiki/Dave_Franco	¿Cuántos premios ha ganado Dave Franco por actuaciones en su carrera como actor?
