	url-localized	lang	question	model_id	output_text	title	has_fluency_mistakes	has_factual_mistakes
293	https://cs.wikipedia.org/wiki/Je%C5%A1t%C4%9Bd	CS	Poblíž jakého krajského města se nachází hora Ještěd?	meta-llama/Meta-Llama-3-8B-Instruct	Hora Ještěd se nachází poblíž Liberce, konkrétně v okrese Liberec, kraj Liberecký. Její vrchol je vysoký 1 012 metrů nad mořem. Je známá svou rozhlednou, která byla vybudována v roce 1966 a je jednou z nejznámějších a nejnavštěvovanějších rozhleden v Česku.	Ještěd	n	n
261	https://cs.wikipedia.org/wiki/Limon%C3%A1dov%C3%BD_Joe_aneb_Ko%C5%88sk%C3%A1_opera	CS	Jak se jmenuje československá filmová parodie westernu, ve které hlavní hrdina zásadně pije jen Kolalokovu limonádu?	meta-llama/Meta-Llama-3-8B-Instruct	"A classic Czechoslovakian film!

The movie you're referring to is ""Létající Čestmír"" (Flying Čestmír), a 1966 comedy western parody directed by Ladislav Rychman. The main character, Čestmír, is a cowboy who only drinks Kolaloka, a popular Czech lemon-lime soda.

The film is a humorous take on traditional Westerns, with Čestmír facing various challenges and adventures in the Wild West. The movie is known for its witty dialogue, absurd situations, and, of course, Čestmír's unwavering loyalty to Kolaloka."	Limonádový Joe aneb Koňská opera	y	y
96	https://cs.wikipedia.org/wiki/Chomutov	CS	V jakém století bylo město Chomutov dobyto husity?	meta-llama/Meta-Llama-3-8B-Instruct	"Město Chomutov nebylo dobyto husity. Chomutov je město, které se nachází v Ústeckém kraji, a bylo založeno v 12. století. V 15. století, kdy probíhaly husitské války, bylo město Chomutov jedním z center katolické opozice proti husitům. Husité sice dobyli některé blízké obce, jako například Kadaň, ale Chomutov zůstal pod katolickou kontrolou.

V roce 1421, během husitských válek, bylo město Chomutov dobyto a zničeno vojáky krále Zikmunda Lucemburského, který byl katolíkem a byl proti husitům. Po dobytí města bylo mnoho jeho obyvatel zabito nebo uprchlo. Město bylo později obnoveno a stalo se důležitým centrem katolické církve v regionu."	Chomutov	n	y
114	https://cs.wikipedia.org/wiki/Ran%C3%A1_%28%C4%8Cesk%C3%A9_st%C5%99edoho%C5%99%C3%AD%29	CS	Centrem jakého sportu je hora Raná?	mistralai/Mistral-7B-Instruct-v0.3	Raná hora je součástí lyžařského střediska v České republice, konkrétně v oblasti Krkonoš. Jedná se tedy o horu, která je centrem zimního sportu, zejména lyžování a sjezdařství.	Raná (České středohoří)	n	y
10	https://cs.wikipedia.org/wiki/Chodsk%C3%A9_n%C3%A1m%C4%9Bst%C3%AD_%28Plze%C5%88%29	CS	Pomník vojákům jaké národnosti je na Chodském náměstí v Plzni?	meta-llama/Meta-Llama-3-8B-Instruct	Na Chodském náměstí v Plzni stojí pomník vojákům, kteří padli v první světové válce. Pomník je věnován vojákům rakousko-uherské armády, kteří bojovali za Rakousko-Uhersko v první světové válce.	Chodské náměstí (Plzeň)	n	y
30	https://cs.wikipedia.org/wiki/Atent%C3%A1t_na_Heydricha	CS	Na koho byl cílen útok výsadkářů Jozefa Gabčíka a Jana Kubiše?	meta-llama/Meta-Llama-3-8B-Instruct	"Útok výsadkářů Jozefa Gabčíka a Jana Kubiše, známý jako Operace Anthropoid, byl cílený proti Reinhardu Heydrichovi, zastupujícímu říšského protektora Německého protektorátu Čechy a Morava.

Heydrich byl vysoký německý úředník a bývalý šéf gestapa, který byl odpovědný za organizaci holocaustu a další válečné zločiny. Po atentátu na Heydricha dne 27. května 1942 v Praze, kdy byli oba výsadkáři zastřeleni, následoval série brutálních represí proti českému obyvatelstvu, včetně poprav více než 1 000 lidí, včetně řady nevinných obětí.

Heydrichovo zranění a následné úmrtí dne 4. června 1942 bylo významné zlomem v dějinách druhé světové války a mělo za následek změny v německé strategii a taktice v okupované Evropě."	Atentát na Heydricha	n	n
60	https://cs.wikipedia.org/wiki/Svaz_modern%C3%AD_kultury_Dev%C4%9Btsil	CS	Jak se jmenoval český levicový umělecký svaz, který působil v letech 1920 až 1930?	meta-llama/Meta-Llama-3-8B-Instruct	Český levicový umělecký svaz, který působil v letech 1920 až 1930, se jmenoval Svaz českých umělců výtvarných (SCÚV). Svaz byl založen v roce 1920 a jeho cílem bylo sjednotit a hájit zájmy českých výtvarných umělců, zejména malířů, sochařů, grafiků a ilustrátorů. SCÚV byl jedním z nejvýznamnějších uměleckých svazů v Československu v první polovině 20. století.	Svaz moderní kultury Devětsil	n	y
185	https://cs.wikipedia.org/wiki/Vodn%C3%AD_n%C3%A1dr%C5%BE_Orl%C3%ADk	CS	U soutoku jakých dvou řek leží hrad Zvíkov?	mistralai/Mistral-7B-Instruct-v0.3	Hrad Zvíkov leží na soutoku dvou řek, Vltavy a Otavy. Tento hrad se nachází v jihočeském okrese Písek.	Vodní nádrž Orlík	n	n
179	https://cs.wikipedia.org/wiki/David_%C4%8Cern%C3%BD	CS	Kdo je David Černý?	mistralai/Mistral-7B-Instruct-v0.3	"David Černý je český umělec, sochař a designér. Je známý svými kontroverzními a provokativními díly, která často parodují politickou a sociální situaci. Jeho nejznámější práce zahrnuje například sochu ""Piss"" (1991), ""Entropa"" (2009) a ""Kouzelník z Oz"" (2014)."	David Černý	n	y
61	https://cs.wikipedia.org/wiki/Limon%C3%A1dov%C3%BD_Joe_aneb_Ko%C5%88sk%C3%A1_opera	CS	Jak se jmenuje československá filmová parodie westernu, ve které hlavní hrdina zásadně pije jen Kolalokovu limonádu?	meta-llama/Meta-Llama-3-8B-Instruct	"That's a great question!

The Czechoslovakian film parody Western you're referring to is called ""Létající Čestmír"" (also known as ""Flying Čestmír"" or ""The Flying Čestmír""). The main character, Čestmír, is a cowboy who only drinks Kolaloka, a popular Czech lemon-flavored soft drink.

Released in 1966, ""Létající Čestmír"" is a comedic parody of Westerns, with Čestmír facing various adventures and misadventures in the Wild West. The film is known for its humor, satire, and memorable characters.

I hope that answers your question!"	Limonádový Joe aneb Koňská opera	y	y
