url-idx	Primary Wikipedia URL	title	url-localized	question
406.0	https://fr.wikipedia.org/wiki/Pentastomida	Pentastomida	https://eu.wikipedia.org/wiki/Pentastomida	Zenbat Pentastomida espezie daude?
407.0	https://zh.wikipedia.org/wiki/%E8%90%A8%E8%8E%AB%E5%A5%88%E4%BA%BA	萨莫奈人	https://eu.wikipedia.org/wiki/Samnitak	Zein lau tribuk osatzen zuten Samnitak herria?
434.0	https://zh.wikipedia.org/wiki/%E5%BF%8D%E6%9C%AF	忍术	https://eu.wikipedia.org/wiki/Ninjutsu	Zertarako erabili zen Ninjutsu XX. mendean Japonian?
442.0	https://fr.wikipedia.org/wiki/Britney	Britney	https://eu.wikipedia.org/wiki/Britney_(diskoa)	"Britney Spearsen ""Britney"" diskoaren zenbat ale saldu ziren lehenengo astean Estatu Batuetan? "
445.0	https://zh.wikipedia.org/wiki/%E4%BC%8A%E6%96%AF%E7%89%B9%E6%8B%89%E5%8D%8A%E5%B3%B6	伊斯特拉半岛	https://eu.wikipedia.org/wiki/Istria	Zein hiru herrialdetan dago banatuta Istria penintsula?
542.0	https://hi.wikipedia.org/wiki/%E0%A4%B8%E0%A5%8D%E0%A4%B5%E0%A4%BE%E0%A4%B9%E0%A4%BF%E0%A4%B2%E0%A5%80_%E0%A4%AD%E0%A4%BE%E0%A4%B7%E0%A4%BE	स्वाहिली भाषा	https://eu.wikipedia.org/wiki/Swahili	Zein herrialdetan da Swahilia hizkuntza ofiziala?
544.0	https://hi.wikipedia.org/wiki/%E0%A4%A4%E0%A5%81%E0%A4%B5%E0%A4%BE%E0%A4%B2%E0%A5%82	तुवालू	https://eu.wikipedia.org/wiki/Tuvalu	Nolakoa da Tuvalu uharteetako klima?
652.0	https://ar.wikipedia.org/wiki/%D9%85%D9%86%D8%AA%D8%AE%D8%A8_%D8%A7%D9%84%D8%B3%D9%86%D8%BA%D8%A7%D9%84_%D9%84%D9%83%D8%B1%D8%A9_%D8%A7%D9%84%D9%82%D8%AF%D9%85	منتخب السنغال لكرة القدم	https://eu.wikipedia.org/wiki/Senegalgo_futbol_selekzio_nazionala	Non jokatzen dira Senegalgo futbol selekzio nazionalaren etxeko partidak?
659.0	https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D9%86%D9%87%D8%B1_%D9%8A%D8%AC%D8%B1%D9%8A_%D9%85%D9%86_%D8%AE%D9%84%D8%A7%D9%84%D9%87%D8%A7_(%D9%81%D9%8A%D9%84%D9%85)	النهر يجري من خلالها (فيلم)	https://eu.wikipedia.org/wiki/A_River_Runs_Through_It	Zenbat minutuko iraupena du A River Runs Through It filmak?
669.0	https://hi.wikipedia.org/wiki/%E0%A4%AF%E0%A5%82%E0%A4%B8%E0%A5%82%E0%A4%B0%E0%A4%BE_%E0%A4%AE%E0%A4%B0%E0%A5%8D%E0%A4%A6%E0%A5%80%E0%A4%A8%E0%A5%80	यूसूरा मर्दीनी	https://eu.wikipedia.org/wiki/Yusra_Mardini	Zein hiritan hazi zen Yusra Mardini igerilaria?
679.0	https://hi.wikipedia.org/wiki/%E0%A4%B2%E0%A5%87%E0%A4%95_%E0%A4%95%E0%A5%87%E0%A4%9C%E0%A4%BF%E0%A4%82%E0%A4%B8%E0%A4%95%E0%A5%80	लेक केजिंसकी	https://eu.wikipedia.org/wiki/Lech_Kaczy%C5%84ski	Zein herritako alkatea izan zen Lech Kaczyński?
