url-idx	Primary Wikipedia URL	title	url-localized	question	model_id	config_info	lang	output_text	output_tokens	output_logits
406.0	https://fr.wikipedia.org/wiki/Pentastomida	Pentastomida	https://eu.wikipedia.org/wiki/Pentastomida	Zenbat Pentastomida espezie daude?	meta-llama/Meta-Llama-3-8B-Instruct	basque2-Meta-Llama-3-8B-Instruct.k75_p0.90_t0.1.jsonl	EU	Hiru espezie bakarrik daude.	['H', 'ir', 'u', 'Ġes', 'pe', 'zie', 'Ġbak', 'ar', 'rik', 'Ġda', 'ude', '.', '<|eot_id|>']	[17.26433753967285, 18.049367904663086, 24.29507827758789, 17.572010040283203, 28.14550018310547, 29.13005828857422, 18.475522994995117, 18.192731857299805, 18.595640182495117, 15.801861763000488, 24.092418670654297, 17.065914154052734, 21.4127197265625]
407.0	https://zh.wikipedia.org/wiki/%E8%90%A8%E8%8E%AB%E5%A5%88%E4%BA%BA	萨莫奈人	https://eu.wikipedia.org/wiki/Samnitak	Zein lau tribuk osatzen zuten Samnitak herria?	meta-llama/Meta-Llama-3-8B-Instruct	basque2-Meta-Llama-3-8B-Instruct.k75_p0.95_t0.1.jsonl	EU	Samnitenek herria osatzen zuten lau tribuk: Hirritak, Karvak, Pentriak eta Frentaniak.	['Sam', 'n', 'iten', 'ek', 'Ġher', 'ria', 'Ġos', 'at', 'zen', 'Ġz', 'uten', 'Ġla', 'u', 'Ġtrib', 'uk', ':', 'ĠHir', 'rit', 'ak', ',', 'ĠKar', 'vak', ',', 'ĠPent', 'ri', 'ak', 'Ġeta', 'ĠFre', 'nt', 'ani', 'ak', '.', '<|eot_id|>']	[19.593454360961914, 20.733013153076172, 20.860536575317383, 17.84502410888672, 15.84103012084961, 28.1099853515625, 16.388809204101562, 26.5990047454834, 30.30607795715332, 22.318132400512695, 27.041683197021484, 13.963102340698242, 21.2609806060791, 19.21864891052246, 23.845947265625, 16.8435115814209, 16.735794067382812, 17.84618377685547, 24.511159896850586, 24.711904525756836, 18.71162223815918, 15.574788093566895, 18.607425689697266, 17.536745071411133, 25.805601119995117, 22.093631744384766, 23.657106399536133, 14.930668830871582, 24.849985122680664, 23.193758010864258, 22.842130661010742, 22.501243591308594, 22.461450576782227]
434.0	https://zh.wikipedia.org/wiki/%E5%BF%8D%E6%9C%AF	忍术	https://eu.wikipedia.org/wiki/Ninjutsu	Zertarako erabili zen Ninjutsu XX. mendean Japonian?	meta-llama/Meta-Llama-3-8B-Instruct	basque2-Meta-Llama-3-8B-Instruct.k75_p0.95_t0.2.jsonl	EU	Ninjutsu XX. mendean Japonian erabili zen militarismoaren eta inteligentzia-operazioen artean, batez ere, Bigarren Mundu Gerran.	['N', 'in', 'j', 'uts', 'u', 'ĠXX', '.', 'Ġmend', 'ean', 'ĠJapon', 'ian', 'Ġer', 'ab', 'ili', 'Ġzen', 'Ġmilitar', 'ismo', 'aren', 'Ġeta', 'Ġintelig', 'ent', 'zia', '-oper', 'azio', 'en', 'Ġarte', 'an', ',', 'Ġb', 'ate', 'z', 'Ġere', ',', 'ĠBig', 'ar', 'ren', 'ĠMund', 'u', 'ĠGerr', 'an', '.', '<|eot_id|>']	[17.25597381591797, 20.99017906188965, 23.722370147705078, 25.065311431884766, 26.311532974243164, 16.783735275268555, 22.486629486083984, 25.115184783935547, 31.981245040893555, 21.727977752685547, 25.1798038482666, 14.969614028930664, 24.056241989135742, 29.461288452148438, 21.06768226623535, 13.723464965820312, 15.462082862854004, 20.50543975830078, 17.922088623046875, 15.588678359985352, 29.646608352661133, 30.258047103881836, 16.118803024291992, 25.143186569213867, 21.640031814575195, 16.11970329284668, 21.050765991210938, 19.306625366210938, 15.640399932861328, 23.4669189453125, 25.7880802154541, 20.885236740112305, 14.89089298248291, 13.83720588684082, 22.828754425048828, 33.74528503417969, 20.577457427978516, 28.64716339111328, 26.247779846191406, 27.735395431518555, 18.26203155517578, 16.146596908569336]
442.0	https://fr.wikipedia.org/wiki/Britney	Britney	https://eu.wikipedia.org/wiki/Britney_(diskoa)	"Britney Spearsen ""Britney"" diskoaren zenbat ale saldu ziren lehenengo astean Estatu Batuetan? "	meta-llama/Meta-Llama-3-8B-Instruct	basque2-Meta-Llama-3-8B-Instruct.k75_p0.95_t0.1.jsonl	EU	Hirurehunkin milioi ale saldu ziren lehenengo astean Estatu Batuetan.	['H', 'ir', 'ure', 'h', 'unk', 'in', 'Ġmil', 'io', 'i', 'Ġale', 'Ġsal', 'du', 'Ġz', 'iren', 'Ġle', 'hen', 'engo', 'Ġast', 'ean', 'ĠEst', 'atu', 'ĠBat', 'uet', 'an', '.', '<|eot_id|>']	[15.986153602600098, 17.36150550842285, 22.97567367553711, 17.336124420166016, 17.456436157226562, 17.033945083618164, 16.605817794799805, 19.165390014648438, 21.522672653198242, 14.813630104064941, 17.89405059814453, 26.112863540649414, 20.4045467376709, 31.429216384887695, 19.078227996826172, 28.42691993713379, 26.818286895751953, 24.235748291015625, 30.264835357666016, 21.967592239379883, 30.318904876708984, 27.838272094726562, 33.803558349609375, 34.394264221191406, 21.58612060546875, 21.60903549194336]
445.0	https://zh.wikipedia.org/wiki/%E4%BC%8A%E6%96%AF%E7%89%B9%E6%8B%89%E5%8D%8A%E5%B3%B6	伊斯特拉半岛	https://eu.wikipedia.org/wiki/Istria	Zein hiru herrialdetan dago banatuta Istria penintsula?	google/gemma-7b-it	basque2-gemma-7b-it.k50_p0.95_t0.2.jsonl	EU	Istria penintsula, Croacia herrialdean dago banatuta.	['Ist', 'ria', '▁pen', 'ints', 'ula', ',', '▁Cro', 'acia', '▁her', 'rial', 'dean', '▁dago', '▁ban', 'at', 'uta', '.', '<eos>']	[184.1862030029297, 94.17327117919922, 204.4981689453125, 124.17794036865234, 147.97439575195312, 160.14906311035156, 139.4486541748047, 66.65116119384766, 158.28070068359375, 135.82003784179688, 149.05020141601562, 207.7421875, 186.32778930664062, 130.2870330810547, 145.49249267578125, 233.57131958007812, 272.4528503417969]
542.0	https://hi.wikipedia.org/wiki/%E0%A4%B8%E0%A5%8D%E0%A4%B5%E0%A4%BE%E0%A4%B9%E0%A4%BF%E0%A4%B2%E0%A5%80_%E0%A4%AD%E0%A4%BE%E0%A4%B7%E0%A4%BE	स्वाहिली भाषा	https://eu.wikipedia.org/wiki/Swahili	Zein herrialdetan da Swahilia hizkuntza ofiziala?	google/gemma-7b-it	basque3-gemma-7b-it.k50_p0.95_t0.1.jsonl	EU	Swahilia hizkuntza Tanzaniako herrialdean ofiziala da.	['S', 'wa', 'hi', 'lia', '▁hiz', 'kunt', 'za', '▁Tanz', 'ani', 'ako', '▁her', 'rial', 'dean', '▁of', 'iz', 'iala', '▁da', '.', '<eos>']	[218.13214111328125, 87.6871109008789, 151.68365478515625, 143.1578826904297, 210.54774475097656, 165.84133911132812, 207.80810546875, 160.17291259765625, 71.71136474609375, 115.8781967163086, 161.81121826171875, 127.72781372070312, 150.58352661132812, 127.66197967529297, 102.96210479736328, 133.19822692871094, 202.17662048339844, 227.39515686035156, 276.5149841308594]
544.0	https://hi.wikipedia.org/wiki/%E0%A4%A4%E0%A5%81%E0%A4%B5%E0%A4%BE%E0%A4%B2%E0%A5%82	तुवालू	https://eu.wikipedia.org/wiki/Tuvalu	Nolakoa da Tuvalu uharteetako klima?	meta-llama/Meta-Llama-3-8B-Instruct	basque3-Meta-Llama-3-8B-Instruct.k50_p0.90_t0.1.jsonl	EU	Tuvaluko uharteetako klima tropikal da, ozeaniko eta beroa. Uharteak Ozeano Pazifikoko erdialdean daude, eta horregatik, klima epel eta hezea da. Urteko batez besteko tenperatura 26°C ingurukoa da, eta urteko prezipitazioak 2.000 mm ingurukoa dira. Euria ugari eta irregularra da, eta uharteetako biztanleak euria asko jasotzen dute.	['Tu', 'val', 'uko', 'Ġuh', 'arte', 'et', 'ako', 'Ġklim', 'a', 'Ġtrop', 'ikal', 'Ġda', ',', 'Ġo', 'ze', 'an', 'iko', 'Ġeta', 'Ġb', 'ero', 'a', '.', 'ĠUh', 'arte', 'ak', 'ĠO', 'ze', 'ano', 'ĠPaz', 'ifik', 'oko', 'Ġer', 'd', 'ial', 'de', 'an', 'Ġda', 'ude', ',', 'Ġeta', 'Ġhor', 'reg', 'atik', ',', 'Ġklim', 'a', 'Ġep', 'el', 'Ġeta', 'Ġhe', 'ze', 'a', 'Ġda', '.', 'ĠUr', 'te', 'ko', 'Ġb', 'ate', 'z', 'Ġbest', 'eko', 'Ġten', 'per', 'atura', 'Ġ', '26', 'Â°C', 'Ġing', 'ur', 'uk', 'oa', 'Ġda', ',', 'Ġeta', 'Ġur', 'te', 'ko', 'Ġpre', 'zip', 'it', 'azio', 'ak', 'Ġ', '2', '.', '000', 'Ġmm', 'Ġing', 'ur', 'uk', 'oa', 'Ġdir', 'a', '.', 'ĠE', 'uria', 'Ġug', 'ari', 'Ġeta', 'Ġirregular', 'ra', 'Ġda', ',', 'Ġeta', 'Ġuh', 'arte', 'et', 'ako', 'Ġbiz', 'tan', 'le', 'ak', 'Ġe', 'uria', 'Ġask', 'o', 'Ġjas', 'ot', 'zen', 'Ġd', 'ute', '.', '<|eot_id|>']	[23.530841827392578, 28.276947021484375, 24.00364875793457, 20.4606876373291, 32.18293762207031, 21.969879150390625, 27.863765716552734, 25.11455535888672, 27.75484848022461, 17.63858413696289, 28.616416931152344, 14.292427062988281, 23.437747955322266, 15.767951965332031, 23.747941970825195, 25.74557113647461, 25.868408203125, 16.334280014038086, 14.262606620788574, 18.922380447387695, 18.649747848510742, 20.71302032470703, 16.310821533203125, 30.956768035888672, 17.795883178710938, 15.870955467224121, 27.0220890045166, 27.220016479492188, 17.50188446044922, 24.02903175354004, 22.642454147338867, 15.117886543273926, 21.98564338684082, 24.90303611755371, 29.371627807617188, 22.72296142578125, 18.945669174194336, 26.428142547607422, 23.557119369506836, 17.531339645385742, 16.442882537841797, 22.135969161987305, 24.295278549194336, 17.52351188659668, 17.580896377563477, 26.237627029418945, 15.024691581726074, 20.77460289001465, 17.325014114379883, 15.514175415039062, 21.715900421142578, 21.52353286743164, 17.725107192993164, 19.237295150756836, 19.617504119873047, 22.492082595825195, 19.64560890197754, 20.405282974243164, 26.84911346435547, 24.484344482421875, 20.625324249267578, 31.276952743530273, 23.283506393432617, 24.07761573791504, 30.475156784057617, 20.278057098388672, 21.474994659423828, 19.396785736083984, 17.338991165161133, 26.251386642456055, 28.977203369140625, 27.53851318359375, 22.78032684326172, 24.89320182800293, 23.20689582824707, 16.712167739868164, 19.841188430786133, 20.422996520996094, 17.773509979248047, 24.858028411865234, 26.544065475463867, 30.493331909179688, 18.10728645324707, 21.986677169799805, 26.165388107299805, 24.62375259399414, 25.064380645751953, 21.082569122314453, 16.23158836364746, 29.379180908203125, 28.046890258789062, 16.8238525390625, 18.85672950744629, 23.0927734375, 23.829557418823242, 14.466975212097168, 17.87613868713379, 15.987395286560059, 24.53654670715332, 16.78234100341797, 13.284219741821289, 20.0042724609375, 19.816205978393555, 20.066326141357422, 19.482093811035156, 14.204294204711914, 29.87777328491211, 20.08681297302246, 29.121925354003906, 16.110572814941406, 25.548532485961914, 26.673839569091797, 19.92497444152832, 14.456613540649414, 18.910568237304688, 13.019426345825195, 22.55301856994629, 15.20512866973877, 21.77093505859375, 25.40568733215332, 21.75310707092285, 26.818281173706055, 18.476987838745117, 15.413747787475586]
652.0	https://ar.wikipedia.org/wiki/%D9%85%D9%86%D8%AA%D8%AE%D8%A8_%D8%A7%D9%84%D8%B3%D9%86%D8%BA%D8%A7%D9%84_%D9%84%D9%83%D8%B1%D8%A9_%D8%A7%D9%84%D9%82%D8%AF%D9%85	منتخب السنغال لكرة القدم	https://eu.wikipedia.org/wiki/Senegalgo_futbol_selekzio_nazionala	Non jokatzen dira Senegalgo futbol selekzio nazionalaren etxeko partidak?	meta-llama/Meta-Llama-3-8B-Instruct	basque2-Meta-Llama-3-8B-Instruct.k75_p0.95_t0.1.jsonl	EU	Ez dira jokatzen.	['E', 'z', 'Ġdir', 'a', 'Ġj', 'ok', 'at', 'zen', '.', '<|eot_id|>']	[19.531816482543945, 19.269943237304688, 18.367341995239258, 23.58817481994629, 14.654863357543945, 23.156204223632812, 29.33663558959961, 33.00019836425781, 15.408282279968262, 14.733630180358887]
659.0	https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D9%86%D9%87%D8%B1_%D9%8A%D8%AC%D8%B1%D9%8A_%D9%85%D9%86_%D8%AE%D9%84%D8%A7%D9%84%D9%87%D8%A7_(%D9%81%D9%8A%D9%84%D9%85)	النهر يجري من خلالها (فيلم)	https://eu.wikipedia.org/wiki/A_River_Runs_Through_It	Zenbat minutuko iraupena du A River Runs Through It filmak?	meta-llama/Meta-Llama-3-8B-Instruct	basque2-Meta-Llama-3-8B-Instruct.k75_p0.90_t0.2.jsonl	EU	Filma horrek 1 o 2 orduko iraupena du, hau da, 108 minutuko iraupena du.	['Fil', 'ma', 'Ġhor', 'rek', 'Ġ', '1', 'Ġo', 'Ġ', '2', 'Ġor', 'du', 'ko', 'Ġir', 'a', 'up', 'ena', 'Ġdu', ',', 'Ġh', 'au', 'Ġda', ',', 'Ġ', '108', 'Ġminut', 'uko', 'Ġir', 'a', 'up', 'ena', 'Ġdu', '.', '<|eot_id|>']	[16.968408584594727, 23.5017147064209, 16.268390655517578, 25.28516387939453, 18.332950592041016, 16.75296974182129, 17.39530372619629, 17.176841735839844, 23.897029876708984, 18.465234756469727, 22.72238540649414, 17.146251678466797, 19.665395736694336, 29.008819580078125, 30.704809188842773, 28.4016170501709, 20.472429275512695, 20.114927291870117, 14.3286771774292, 19.326309204101562, 17.820491790771484, 19.991077423095703, 15.4007568359375, 18.352365493774414, 19.2821102142334, 25.687196731567383, 16.73554229736328, 27.753591537475586, 28.682945251464844, 28.342453002929688, 20.3619327545166, 18.687702178955078, 19.120141983032227]
669	https://hi.wikipedia.org/wiki/%E0%A4%AF%E0%A5%82%E0%A4%B8%E0%A5%82%E0%A4%B0%E0%A4%BE_%E0%A4%AE%E0%A4%B0%E0%A5%8D%E0%A4%A6%E0%A5%80%E0%A4%A8%E0%A5%80	यूसूरा मर्दीनी	https://eu.wikipedia.org/wiki/Yusra_Mardini	Zein hiritan hazi zen Yusra Mardini igerilaria?	meta-llama/Meta-Llama-3-8B-Instruct	basque2-Meta-Llama-3-8B-Instruct.k75_p0.95_t0.2.jsonl	EU	Alepoan jaio zen Yusra Mardini igerilaria.	['Ale', 'po', 'an', 'Ġja', 'io', 'Ġzen', 'ĠY', 'usra', 'ĠM', 'ard', 'ini', 'Ġ', 'iger', 'ilar', 'ia', '.', '<|eot_id|>']	[20.37253189086914, 18.37685203552246, 16.114431381225586, 15.46191120147705, 23.8048038482666, 20.236309051513672, 19.64947509765625, 24.532562255859375, 26.251598358154297, 26.73975944519043, 27.31722640991211, 19.304174423217773, 26.621341705322266, 29.70569610595703, 33.6732177734375, 21.897445678710938, 22.642230987548828]
