url	title	langs	question	alt_question
https://en.wikipedia.org/wiki/David_F._Sandberg	David F. Sandberg	en,fi,sv,zh,fr	In which city was david sandberg born?	Who is david sandberg's wife?
https://en.wikipedia.org/wiki/Mouthier-Haute-Pierre	Mouthier-Haute-Pierre	en,fr,sv,zh	In which French department is Mouthier-Haute-Pierre located?	What is the population of Mouthier-Haute-Pierre?
https://en.wikipedia.org/wiki/Cyrtophora_moluccensis	Cyrtophora moluccensis	en,fr,sv,zh	From which country is Cyrtophora moluccensis native?	What’s the common name of Cyrtophora moluccensis?
https://en.wikipedia.org/wiki/Zonitoides	Zonitoides	en,sv,zh	What type of animals are Zonitoides	Does Zonitoides use love darts?
https://en.wikipedia.org/wiki/Gampel-Bratsch	Gampel-Bratsch	en,fr,sv,zh	In which country is Gampel-Bratsch located?	In which year were the Gampel and Bratsch municipalities merged?
https://en.wikipedia.org/wiki/Input%E2%80%93output_memory_management_unit	Input–output memory management unit	en,fi,zh	Is a graphics address redressing table a type of input-output memory management unit?	Are input–output memory management units connected to the main memory?
https://en.wikipedia.org/wiki/Herpy-l%27Arl%C3%A9sienne	Herpy-l'Arlésienne	en,fi,sv,zh,fr	In which French department is Herpy-l'Arlésienne located?	What is the population of Herpy-l'Arlésienne?
https://en.wikipedia.org/wiki/Paul_Egede	Paul Egede	en,fr,sv	Where was Paul Egede sent to do his missionary work?	In which century did Poul Hansen Egede live?
https://en.wikipedia.org/wiki/Carl_L%C3%B6wenhielm	Carl Löwenhielm	en,fr,fi,sv	Who was the father of Carl Löwenhielm?	In which city was Carl Löwenhielm born?
https://en.wikipedia.org/wiki/Western_oriole	Western oriole	en,fr,fi,sv	How big is a western oriole?	Is the western oriole extinct?
https://en.wikipedia.org/wiki/Dharma_name	Dharma name	en,fr,zh	Can you have more than one Dharma name?	Explain in a few sentences what a Dharma name is.
https://en.wikipedia.org/wiki/Bundesautobahn_73	Bundesautobahn 73	en,fr,sv	How long is the Bundesautobahn 73?	Is Bamberg on the Bundesautobahn 73?
https://en.wikipedia.org/wiki/Swedish_Navy	Swedish Navy	en,fi,sv,zh,fr	When was the Swedish Navy founded?	When was the amphibious corps of the Swedish Navy founded?
https://en.wikipedia.org/wiki/Galicia_(Spain)	Galicia (Spain)	en,fi,sv,zh,fr	What is the population of the Spanish region of Galicia?	How large is the Spanish region of Galicia?
https://zh.wikipedia.org/wiki/%E7%B4%85%E7%89%9B%E9%AB%94%E8%82%B2%E5%A0%B4_(%E8%96%A9%E7%88%BE%E6%96%AF%E5%A0%A1)	紅牛體育場 (薩爾斯堡)	zh,en,fi,fr,sv	In which country is the Salzburg Red Bull Arena?	What’s the capacity of the Red Bull Arena in Salzburg?
https://sv.wikipedia.org/wiki/Captain_Morgan	Captain Morgan	sv,en,fr,fi	When was Captain Morgan invented?	When was Captain Morgan sold to Diageo?
https://fr.wikipedia.org/wiki/Championnats_du_monde_de_biathlon_1991	Championnats du monde de biathlon 1991	fr,en,fi,sv	In which city were the 26th biathlon world championships held?	In which year were the 26th biathlon world championships held?
https://sv.wikipedia.org/wiki/Edu_Manga	Edu Manga	sv,en,fr,fi,zh	What’s the real name of Edu Manga?	What sport did Edu Manga play?
https://zh.wikipedia.org/wiki/%E9%A5%B6%E8%88%8C%E8%80%85%E9%92%B1%E6%96%AF	饶舌者钱斯	zh,en,fi,fr,sv	When did Chance the Rapper debut?	What is the real name of Chance the Rapper?
https://zh.wikipedia.org/wiki/%E4%B8%8B%E5%A1%94%E5%90%89%E5%B0%94	下塔吉尔	zh,en,fi,fr,sv	In which oblast is Nizhny Tagil located?	What is the average temperature in Nizhny Tagil?
https://zh.wikipedia.org/wiki/%E8%96%A9%E8%BF%A6%E6%B3%95%E7%8E%8B	薩迦法王	zh,en,fr,sv	Explain what is the Sakya Trizin in a few words.	Who is the current Sakya Trizin?
https://fr.wikipedia.org/wiki/Jef_Raskin	Jef Raskin	fr,en,fi,sv,zh	When did Jef Raskin die?	Did Jef Raskin start the Macintosh project?
https://zh.wikipedia.org/wiki/2011%E5%B9%B4%E6%AD%90%E6%B4%B2%E8%B6%85%E7%B4%9A%E7%9B%83	2011年歐洲超級盃	zh,en,fi,fr	Which two teams competed in the 2011 UEFA Super Cup?	Who won the 2011 UEFA Super Cup?
https://en.wikipedia.org/wiki/Antenna_(biology)	Antenna (biology)	en,fr,fi,sv,zh	Do all arthropods have antennae?	Which non-crustacean arthropods lack antennae?
https://en.wikipedia.org/wiki/Mario_Bolatti	Mario Bolatti	en,fr,fi,sv,zh	In which national football team did Mario Bolatti play?	When and where was Mario Bolatti born?
https://zh.wikipedia.org/wiki/%E7%A7%91%E5%B0%94%E5%AF%9F%E8%87%AA%E6%B2%BB%E7%9C%81	科尔察自治省	zh,en,fr,sv	Explain what was the Autonomous Province of Korçë in a few words.	When was the Autonomous Province of Korçë established?
https://fr.wikipedia.org/wiki/D%C3%A9partement_de_Federal	Département de Federal	fr,en,sv,zh	In which province is the Federal Department of Argentina?	In which province is the Federal Department of Argentina?
https://en.wikipedia.org/wiki/Wheein	Wheein	en,fr,sv,zh	In which K-pop group did Wheein debut?	Where is Wheein from?
https://zh.wikipedia.org/wiki/%E5%9F%83%E8%92%82%E5%A5%A5%E5%8B%92	埃蒂奥勒	zh,en,fr,sv	What is the population of Étiolles?	In which French department is Étiolles located?
https://zh.wikipedia.org/wiki/150	150	zh,en,fr,sv	What are the factors of 150?	What’s 150 in ternary?
https://sv.wikipedia.org/wiki/La_Belli%C3%A8re,_Seine-Maritime	La Bellière, Seine-Maritime	sv,en,fr,zh	What is the population of La Bellière, Seine-Maritime?	Is there a church in La Bellière, Seine Maritime?
https://fr.wikipedia.org/wiki/Diab%C3%A8te_de_type_2	Diabète de type 2	fr,en,fi,sv,zh	What are some common symptoms of type 2 diabetes?	Which medication is usually used to treat type 2 diabetes?
https://zh.wikipedia.org/wiki/%E5%9C%A3%E7%93%A6%E5%B0%94	圣瓦尔	zh,en,fr,sv	In which French region is Saint-Voir located?	In which French department is Saint-Voir located?
https://zh.wikipedia.org/wiki/%E6%B3%A2%E8%A5%BF%E7%B8%A3_(%E5%8D%B0%E7%AC%AC%E5%AE%89%E7%B4%8D%E5%B7%9E)	波西縣 (印第安納州)	zh,en,fr,sv	In which US state is Posey County located?	What’s the population of Posey County, Indiana?
https://fr.wikipedia.org/wiki/Folorunsho_Alakija	Folorunsho Alakija	fr,en,fi,sv	What is the name of Folorunsho Alakija’s foundation?	From where is Folorunso Alakija from?
https://fr.wikipedia.org/wiki/Comt%C3%A9_de_Gogebic	Comté de Gogebic	fr,en,fi,sv,zh	What is the county seat of Gogebic County?	Is there a reservation in Gogebic County?
https://zh.wikipedia.org/wiki/%E6%B4%A5%E5%B7%B4%E5%B8%83%E9%9F%A6%E5%8E%86%E5%8F%B2	津巴布韦历史	zh,en,fi,fr	When did Zimbabwe gain its independence?	Was there another Kalanga-speaking kingdom aside from the kingdom of Zimbabwe?
https://zh.wikipedia.org/wiki/%E7%BA%A6%E7%BF%B0%C2%B7%E5%85%8B%E9%87%8C%E6%96%AF%E6%89%98%E5%BC%97%C2%B7%E5%A8%81%E5%88%A9%E6%96%AF	约翰·克里斯托弗·威利斯	zh,en,fr,sv	What was John Christopher Willis’ field of study?	What was John Christopher Willis’ position on natural sleection?
https://en.wikipedia.org/wiki/Aloadae	Aloadae	en,fr,fi,zh	Who is the mother of the Aloadae?	Who is the sister of the Aloadae?
https://zh.wikipedia.org/wiki/%E9%9F%A6%E5%BB%96%E5%A4%AB%E9%87%91%E6%B4%9E%E7%A9%B4	韦廖夫金洞穴	zh,en,fr,sv	What is the deepest known cave on Earth?	Where is Veryovkina Cave located?
https://en.wikipedia.org/wiki/Swea_City,_Iowa	Swea City, Iowa	en,fr,zh	What is the population of Swea City, Iowa?	In which county is Swea City located?
https://fr.wikipedia.org/wiki/Marko_Kiprusoff	Marko Kiprusoff	fr,en,fi,sv,zh	Where was Marko Kristian Kiprusoff born?	What sport did Marko Kristian Kiprusoff play?
https://zh.wikipedia.org/wiki/%E6%B3%95%E5%9C%8B%E8%88%AA%E7%A9%BA296%E8%99%9F%E7%8F%AD%E6%A9%9F%E7%A9%BA%E9%9B%A3	法國航空296號班機空難	zh,en,fi,fr	Explain in a few words the Air France Flight 296Q crash.	How many people died in the Air France Flight 296Q crash?
https://en.wikipedia.org/wiki/JL-2	JL-2	en,fr,sv,zh	What is the Julang-2?	What is the blast yield of a JL-2?
https://zh.wikipedia.org/wiki/%E5%8F%A4%E5%B7%B4%E5%9C%8B%E5%AE%B6%E7%94%B7%E5%AD%90%E6%8E%92%E7%90%83%E9%9A%8A	古巴國家男子排球隊	zh,en,fi,fr,sv	Did the Cuba man’s national volleyball team ever win a gold medal during a world cup?	Did the Cuba men’s national volleyball team win an Olympic gold medal?
https://fr.wikipedia.org/wiki/The_Eternal_Idol	The Eternal Idol	fr,en,fi,sv	When was Black Sabbath’s The Eternal Idol released?	Was Tony Martin the singer on Black Sabbath’s The Eternal Idol?
https://zh.wikipedia.org/wiki/%E5%93%A5%E4%BC%A6%E6%AF%94%E4%BA%9A%E6%80%BB%E7%BB%9F	哥伦比亚总统	zh,en,fi,fr	Is there a limit to the number of terms one can serve as the Columbian president?	Who was the first president of Colombia?
https://zh.wikipedia.org/wiki/Windows_Neptune	Windows Neptune	zh,en,fr,sv	Was windows neptune ever released?	Which windows version was derived from windows neptune?
https://zh.wikipedia.org/wiki/%E7%9B%8E%E6%A0%BC%E9%AD%AF%E6%84%9B%E7%88%BE%E8%98%AD%E4%BA%BA	盎格魯愛爾蘭人	zh,en,fi,fr,sv	Are all Anglo-Irish people Protestants?	Are there any noteworthy Anglo-Irish mathematicians?
https://zh.wikipedia.org/wiki/%E9%98%BF%E5%B0%94%E5%BC%97%E9%9B%B7%E5%BE%B7%C2%B7%E6%99%AE%E8%8E%B1	阿尔弗雷德·普莱	zh,en,fi,fr	Which Olympic sport was Alfred Plé famous for?	Who was Aflred Plé’s teammate when he won his Olympic medal?
https://sv.wikipedia.org/wiki/Terrazzo,_Veneto	Terrazzo, Veneto	sv,en,fr,zh	How far is Terrazzo from Venice?	What is the population of Terrazzo, Veneto?
https://sv.wikipedia.org/wiki/Det_Norske_Baptistsamfunn	Det Norske Baptistsamfunn	sv,en,fr,fi	Who was the first chairman of the Baptist Union of Norway?	Explain in a few words what is the Baptist Union of Norway.
https://zh.wikipedia.org/wiki/%E5%A5%A7%E6%89%8E%E9%AD%AF%E5%A4%AB	奧扎魯夫	zh,en,fr,sv	Does Ożarów have a significant Jewish history?	When was the town of Ożarów founded?
https://fr.wikipedia.org/wiki/Bataille_de_Long_Island	Bataille de Long Island	fr,en,fi,sv,zh	Who was the Brittish commander during the Battle of Long Island?	When did Howe’s troup land on Long Island?
https://en.wikipedia.org/wiki/Bruce_Sterling	Bruce Sterling	en,fr,fi,sv,zh	What are the two factions in Bruce Sterling’s “Schismatrix”?	What genre is Bruce Sterling known for?
https://zh.wikipedia.org/wiki/%E5%AE%89%E5%90%89%E6%96%AF%E7%89%B9%E9%87%8C%E5%B2%9B	安吉斯特里岛	zh,en,fi,fr,sv	Where is Agistri located?	What settlements are there on Agistri?
https://zh.wikipedia.org/wiki/%E8%89%B3%E7%BB%87%E9%9B%80%E5%B1%9E	艳织雀属	zh,en,fi,fr,sv	What are some notable physical characteristics of fodies?	Are all fodies red?
https://sv.wikipedia.org/wiki/Lautersheim	Lautersheim	sv,en,fr,zh	What is the population of Lautersheim?	Where is Lautersheim located?
https://zh.wikipedia.org/wiki/%E7%A6%8F%E9%97%A8%E7%89%B9%E6%8B%89%E5%B2%9B	福门特拉岛	zh,en,fi,fr,sv	How many martellos are there on Formentera?	What is the average temperature on Formentera?
https://sv.wikipedia.org/wiki/Fomitiporia	Fomitiporia	sv,en,fi,zh	Are there fungi from the genus Fomitiporia outside of Africa?	What’s a Fomitiporia?
https://fr.wikipedia.org/wiki/Health_(groupe)	Health (groupe)	fr,en,fi,sv	Did Health ever compose videogame soundtracks?	What’s the lineup of the band Health?
https://zh.wikipedia.org/wiki/%E5%B0%8F%E7%AB%B9%E9%BC%A0%E5%B1%AC	小竹鼠屬	zh,en,fr,sv	Are lesser bamboo rats endangered?	How big is a lesser bamboo rat?
https://fr.wikipedia.org/wiki/Kyle_Korver	Kyle Korver	fr,en,fi,zh	How tall is Kyle Korver?	Did Kyle Korver beat Steve Kerr’s three point percentage?
https://sv.wikipedia.org/wiki/%C3%96gonh%C3%A5la	Ögonhåla	sv,en,fr,fi,zh	Is the lacrimal sac contained in the orbit?	How many embryologically distinct bony structure are the walls of the orbit derived from?
https://en.wikipedia.org/wiki/Andrei_Kravchuk	Andrei Kravchuk	en,fr,fi,sv,zh	Did Andrei Kravchuk study mathematics?	When did Kravchuk began working on The Italian?
https://zh.wikipedia.org/wiki/%E6%A0%BC%E7%BE%85%E5%AF%A7%E6%A0%B9%E5%8D%9A%E7%89%A9%E9%A4%A8	格羅寧根博物館	zh,en,fr,sv	Is the Groninger Museum far from the railway station?	How many people visit the Groninger Museum yearly?
https://zh.wikipedia.org/wiki/%E7%8E%89%E6%A0%91%E5%B8%82	玉树市	zh,en,fi,fr,sv	Is Yushu the largest city in Qinghai?	Is there an airport near Yushu, Qinghai?
https://zh.wikipedia.org/wiki/%E8%B0%A2%E5%B0%94%E7%9B%96%C2%B7%E5%B8%95%E6%8B%89%E6%9D%B0%E8%AF%BA%E5%A4%AB	谢尔盖·帕拉杰诺夫	zh,en,fi,fr,sv	What is Parajanov’s last movie?	Which filmakers was Parajanov influenced by?
https://fr.wikipedia.org/wiki/Oudalan_(province)	Oudalan (province)	fr,en,fi,sv,zh	What is the capital of Oudalan?	What is the population of Oudalan?
https://zh.wikipedia.org/wiki/%E6%B5%B7%E6%B3%95%E5%A4%A7%E5%AD%A6	海法大学	zh,en,fi,fr	What is the relationship between the University of Haifa and the Hecht Museum of archeology and art?	When was the University of Haifa founded?
https://zh.wikipedia.org/wiki/%E5%9C%A3%E4%BE%9D%E8%A5%BF%E5%A4%9A%E7%A6%84%E5%A0%82_(%E7%BD%97%E9%A9%AC)	圣依西多禄堂 (罗马)	zh,en,fr,sv	How many cloisters are there in Sant'Isidoro a Capo le Case?	Is Sant'Isidoro a Capo le Case a national church?
https://fr.wikipedia.org/wiki/Collage_(art)	Collage (art)	fr,en,fi,sv,zh	What is the difference between collage and photomontage?	How far back can collage techniques be traced?
https://zh.wikipedia.org/wiki/2013%E5%B9%B4%E4%BC%8A%E6%9C%97%E6%80%BB%E7%BB%9F%E9%80%89%E4%B8%BE	2013年伊朗总统选举	zh,en,fi,fr,sv	How many presidential candidates were there in the 2013 Iranian presidential election?	What was the turnout of the 2013 Iranian presidential election?
https://fr.wikipedia.org/wiki/Alberto_Fouillioux	Alberto Fouillioux	fr,en,fi,sv	Dd Alberto Fouillioux ever play in a world cup championship?	Whcih sport did Alberto Fouillioux play professionally?
https://zh.wikipedia.org/wiki/%E5%8A%A0%E6%8B%89%E9%9C%8D%E5%A5%88%E5%9B%BD%E5%AE%B6%E5%85%AC%E5%9B%AD	加拉霍奈国家公园	zh,en,fi,fr,sv	What is the Garajonay National Park named after?	Are there any reptiles in Garajonay National Park?
https://sv.wikipedia.org/wiki/Laurance_Rockefeller	Laurance Rockefeller	sv,en,fr,fi	How many children did Laurance Rockefeller have?	Did Laurance Rockefeller have any interest in aliens?
https://zh.wikipedia.org/wiki/%E8%B5%AB%E5%B0%94%E6%9B%BC%C2%B7%E5%BC%97%E9%9B%B7%E6%B3%BD	赫尔曼·弗雷泽	zh,en,fi,fr,sv	What did Herman Frazier win gold medals for?	Where did Herman Frazier work as an athletic director?
https://sv.wikipedia.org/wiki/Stahlberg	Stahlberg	sv,en,fr,zh	Where is Stahlberg located?	What is the population of Stahlberg?
https://fr.wikipedia.org/wiki/Championnat_d%27Europe_f%C3%A9minin_de_handball_2016	Championnat d'Europe féminin de handball 2016	fr,en,fi,sv	Who won the 2016 European Women's Handball Championship?	Which country hosted the 2016 European Women's Handball Championship?
https://zh.wikipedia.org/wiki/%E9%A9%AC%E5%85%8B%C2%B7%E6%B2%83%E7%BA%B3	马克·沃纳	zh,en,fi,fr,sv	When did Mark Warner enter the US Senate?	Which state does Mark Warner represent?
https://sv.wikipedia.org/wiki/Choe_Ryong-hae	Choe Ryong-hae	sv,en,fr,zh	Explain in a few words who is Choe Ryong-hae.	Where is Choe Ryong-hae from?
https://zh.wikipedia.org/wiki/%E6%96%B0%E7%BC%AC%E8%8D%89%E5%B1%9E	新缬草属	zh,en,fi,fr,sv	Does cornsalad have flowers?	What are some other members of genus Valerianella besides Valerianella locusta?
https://fr.wikipedia.org/wiki/Adriana_Lisboa	Adriana Lisboa	fr,en,fi,sv	Who is Adriana Lisboa?	Does Adriana Lisboa only wirte poerty?
https://en.wikipedia.org/wiki/Arts_and_Humanities_Citation_Index	Arts and Humanities Citation Index	en,fr,fi,zh	What is the Arts and Humanities Citation Index?	Is the Arts and Humanities Citation Index still maintained?
https://sv.wikipedia.org/wiki/Amoncourt	Amoncourt	sv,en,fr,zh	Where is Amoncourt located?	In which French department is Amoncourt located?
https://zh.wikipedia.org/wiki/%E8%81%8C%E4%B8%9A%E6%9D%80%E6%89%8B_(%E7%94%B5%E5%BD%B1)	职业杀手 (电影)	zh,en,fr,sv	When did filming for ‘’Hit Man' begin?	Who wrote the screenplay of Hit Man?
https://fr.wikipedia.org/wiki/Nina_Curtis	Nina Curtis	fr,en,sv,zh	What sport does Nina Curtis practice professionally?	Did Nina Curtis ever win a gold medal?
https://en.wikipedia.org/wiki/Delta,_British_Columbia	Delta, British Columbia	en,fr,fi,sv,zh	When was Delta, British Columbia, incorporated as a city?	What is the Tsawwassen community of Delta, BC named after?
https://zh.wikipedia.org/wiki/%E9%98%BF%E7%88%BE%E5%A1%94%E8%BF%AA%E7%B4%8D_(%E5%8A%A0%E5%88%A9%E7%A6%8F%E5%B0%BC%E4%BA%9E%E5%B7%9E)	阿爾塔迪納 (加利福尼亞州)	zh,en,fi,fr,sv	Is there a museum in Altadena, CA?	Is Altadena, CA incorporated?
https://fr.wikipedia.org/wiki/Ab%C3%A1dszal%C3%B3k	Abádszalók	fr,en,sv,zh	Where is Abádszalók located?	What is the population of Abádszalók?
https://zh.wikipedia.org/wiki/%E8%AD%A6%E5%AF%9F%E5%AD%A6%E6%A0%A1_(%E7%94%B5%E5%BD%B1)	警察学校 (电影)	zh,en,fi,fr,sv	Who was the director for the original Police Academy movie?	When was the original Police Academy film released?
https://zh.wikipedia.org/wiki/%E5%90%89%E5%88%97%E4%BD%93%E8%82%B2%E5%9C%BA	吉列体育场	zh,en,fi,fr,sv	Where is Gillette Stadium located?	Which NFL team uses Gillette Stadium as their home stadium?
https://sv.wikipedia.org/wiki/Microsoft_Edge	Microsoft Edge	sv,en,fr,fi,zh	When was the initial release of Microsoft Edge?	Is Microsoft Edge the most popular browser?
