	url	title	langs	question
0	https://en.wikipedia.org/wiki/1997%E2%80%9398_Asian_Club_Championship	1997–98 Asian Club Championship	en,fr,zh	
4	https://en.wikipedia.org/wiki/Arcade_(architecture)	Arcade (architecture)	en,fr,fi,sv,zh	How are blind arcades different from regular arcades?
5	https://en.wikipedia.org/wiki/Argyrosomus_hololepidotus	Argyrosomus hololepidotus	en,sv,zh	
7	https://en.wikipedia.org/wiki/BAFTA_Award_for_Best_Actor_in_a_Supporting_Role	BAFTA Award for Best Actor in a Supporting Role	en,fr,fi,sv,zh	Is there any year when the BAFTA Award for Best Actor in a Supporting Role hasn’t been awarded?
9	https://en.wikipedia.org/wiki/Beauvechain	Beauvechain	en,fr,fi,sv,zh	is there an airfield in Beauvechain?
12	https://en.wikipedia.org/wiki/Brothers_in_Arms_(album)	Brothers in Arms (album)	en,fr,fi,sv	Did the album Brothers in Arms win any awards?
16	https://en.wikipedia.org/wiki/Chris_Claremont	Chris Claremont	en,fr,fi,sv	Is Chris Claremont the sole writer of Days of Future Past?
22	https://en.wikipedia.org/wiki/FC_Zhenis	FC Zhenis	en,fr,fi,zh	What is the home stadium of FC Zhenis?
23	https://en.wikipedia.org/wiki/Frances_Farmer	Frances Farmer	en,fr,fi,sv	When was Frances Farmer first interned in a psychiatric institution?
26	https://en.wikipedia.org/wiki/Ghislain_Konan	Ghislain Konan	en,fr,zh	
27	https://en.wikipedia.org/wiki/Gianrico_Carofiglio	Gianrico Carofiglio	en,fr,sv	
30	https://en.wikipedia.org/wiki/HSC_Cs%C3%ADkszereda	HSC Csíkszereda	en,fr,fi,sv	When was HSC Csíkszereda founded?
32	https://en.wikipedia.org/wiki/Helsingin_Jalkapalloklubi	Helsingin Jalkapalloklubi	en,fi,sv,zh,fr	What are the away colors of the Helsingin Jalkapalloklubi?
35	https://en.wikipedia.org/wiki/Irus_irus	Irus irus	en,sv,zh	
37	https://en.wikipedia.org/wiki/Kremlin_(fortification)	Kremlin (fortification)	en,fr,fi,sv,zh	Are kremlins similar to detinets?
41	https://en.wikipedia.org/wiki/Nokia_E5-00	Nokia E5-00	en,fr,fi	
44	https://en.wikipedia.org/wiki/Pennard	Pennard	en,fr,sv	
45	https://en.wikipedia.org/wiki/Pet_store	Pet store	en,fr,fi,zh	Where is the largest pet store in the world located?
46	https://en.wikipedia.org/wiki/Petra_van_Staveren	Petra van Staveren	en,fi,sv,zh,fr	What did Petra van Staveren win a gold medal for?
47	https://en.wikipedia.org/wiki/Spotted_blue-eye	Spotted blue-eye	en,fr,sv,zh	What do spotted blue-eyes eat?
50	https://en.wikipedia.org/wiki/Sustainable_city	Sustainable city	en,fr,fi,zh	What is the UN Sustainable Development Goal 11’s definition of a sustainable city?
54	https://en.wikipedia.org/wiki/Ted_Lange	Ted Lange	fr,fi	
55	https://en.wikipedia.org/wiki/Tilia_dasystyla	Tilia dasystyla	en,fr,sv	
56	https://en.wikipedia.org/wiki/United_States_Army_Medical_Command	United States Army Medical Command	en,fr,zh	
65	https://fr.wikipedia.org/wiki/(661)_Cl%C3%A9lie	(661) Clélie	fr,en,sv,zh	What is the perihelion of 661 Cloelia?
67	https://fr.wikipedia.org/wiki/268_av._J.-C.	268 av. J.-C.	fr,en,fi,sv,zh	Which Roman coin was first minted in 268 BC?
69	https://fr.wikipedia.org/wiki/Abrus	Abrus	fr,en,fi,sv,zh	Are there any members of genus Abrus native to the Americas?
77	https://fr.wikipedia.org/wiki/Bee_Train	Bee Train	fr,en,zh	
80	https://fr.wikipedia.org/wiki/Capitaine_(football)	Capitaine (football)	fr,en,zh	
92	https://fr.wikipedia.org/wiki/Domantas_Sabonis	Domantas Sabonis	fr,en,fi,sv,zh	In which country did Domantas Sabonis start his career?
94	https://fr.wikipedia.org/wiki/FEAR_(jeu_vid%C3%A9o)	FEAR (jeu vidéo)	fr,en,fi,sv,zh	Did the video game F.E.A.R. receive any awards for its use of AI?
97	https://fr.wikipedia.org/wiki/Fortescue_(Missouri)	Fortescue (Missouri)	fr,en,zh	
98	https://fr.wikipedia.org/wiki/Fredrikstad_FK	Fredrikstad FK	fr,en,fi,sv,zh	When did the Fredrikstad Fotballklubb change its home ground stadium?
99	https://fr.wikipedia.org/wiki/Gare_de_Walthamstow_Central	Gare de Walthamstow Central	fr,en,zh	
101	https://fr.wikipedia.org/wiki/Guillemot_de_Tro%C3%AFl	Guillemot de Troïl	fr,en,fi,sv,zh	
105	https://fr.wikipedia.org/wiki/Johnny_Cash	Johnny Cash	fr,en,fi,sv,zh	
106	https://fr.wikipedia.org/wiki/Khobar	Khobar	fr,en,fi,sv,zh	
108	https://fr.wikipedia.org/wiki/Liaison_m%C3%A9tallique	Liaison métallique	fr,en,fi,sv,zh	
111	https://fr.wikipedia.org/wiki/Manifestations_de_mars-avril_2022_au_P%C3%A9rou	Manifestations de mars-avril 2022 au Pérou	fr,en,zh	
112	https://fr.wikipedia.org/wiki/Manteo	Manteo	fr,en,sv,zh	
113	https://fr.wikipedia.org/wiki/Mar%C3%ADa_Grever	María Grever	fr,en,sv,zh	
115	https://fr.wikipedia.org/wiki/Moshood_Abiola	Moshood Abiola	fr,en,fi,sv	
117	https://fr.wikipedia.org/wiki/Noonie_Bao	Noonie Bao	fr,en,fi,sv	
118	https://fr.wikipedia.org/wiki/Omega_Centauri	Omega Centauri	fr,en,fi,sv,zh	
120	https://fr.wikipedia.org/wiki/Oxford_University_Association_Football_Club	Oxford University Association Football Club	fr,en,fi,sv	
121	https://fr.wikipedia.org/wiki/Oxycarenidae	Oxycarenidae	fr,en,sv,zh	
