url	en-url	title	langs	question	alt_question
https://en.wikipedia.org/wiki/David_F._Sandberg	https://en.wikipedia.org/wiki/David_F._Sandberg	David F. Sandberg	en,fi,sv,zh,fr	In which city was David Sandberg born?	Who is david sandberg's wife?
https://en.wikipedia.org/wiki/Mouthier-Haute-Pierre	https://en.wikipedia.org/wiki/Mouthier-Haute-Pierre	Mouthier-Haute-Pierre	en,fr,sv,zh	In which French department is Mouthier-Haute-Pierre located?	What is the population of Mouthier-Haute-Pierre?
https://en.wikipedia.org/wiki/Cyrtophora_moluccensis	https://en.wikipedia.org/wiki/Cyrtophora_moluccensis	Cyrtophora moluccensis	en,fr,sv,zh	From which country is Cyrtophora moluccensis native?	What’s the common name of Cyrtophora moluccensis?
https://en.wikipedia.org/wiki/Zonitoides	https://en.wikipedia.org/wiki/Zonitoides	Zonitoides	en,sv,zh	Does Zonitoides use love darts?	
https://en.wikipedia.org/wiki/Gampel-Bratsch	https://en.wikipedia.org/wiki/Gampel-Bratsch	Gampel-Bratsch	en,fr,sv,zh	In which year were the Gampel and Bratsch municipalities merged?	
https://en.wikipedia.org/wiki/Input%E2%80%93output_memory_management_unit	https://en.wikipedia.org/wiki/Input%E2%80%93output_memory_management_unit	Input–output memory management unit	en,fi,zh	Is a graphics address redressing table a type of input-output memory management unit?	Are input–output memory management units connected to the main memory?
https://en.wikipedia.org/wiki/Herpy-l%27Arl%C3%A9sienne	https://en.wikipedia.org/wiki/Herpy-l%27Arl%C3%A9sienne	Herpy-l'Arlésienne	en,fi,sv,zh,fr	In which French department is Herpy-l'Arlésienne located?	What is the population of Herpy-l'Arlésienne?
https://en.wikipedia.org/wiki/Paul_Egede	https://en.wikipedia.org/wiki/Paul_Egede	Paul Egede	en,fr,sv	Where was Paul Egede sent to do his missionary work?	In which century did Poul Hansen Egede live?
https://en.wikipedia.org/wiki/Carl_L%C3%B6wenhielm	https://en.wikipedia.org/wiki/Carl_L%C3%B6wenhielm	Carl Löwenhielm	en,fr,fi,sv	Who was the father of Carl Löwenhielm?	In which city was Carl Löwenhielm born?
https://en.wikipedia.org/wiki/Western_oriole	https://en.wikipedia.org/wiki/Western_oriole	Western oriole	en,fr,fi,sv	How big is a western oriole?	Is the western oriole extinct?
https://en.wikipedia.org/wiki/Dharma_name	https://en.wikipedia.org/wiki/Dharma_name	Dharma name	en,fr,zh	Can you have more than one Dharma name?	Explain in a few sentences what a Dharma name is.
https://en.wikipedia.org/wiki/Bundesautobahn_73	https://en.wikipedia.org/wiki/Bundesautobahn_73	Bundesautobahn 73	en,fr,sv	How long is the Bundesautobahn 73?	Is Bamberg on the Bundesautobahn 73?
https://en.wikipedia.org/wiki/Swedish_Navy	https://en.wikipedia.org/wiki/Swedish_Navy	Swedish Navy	en,fi,sv,zh,fr	When was the Swedish Navy founded?	When was the amphibious corps of the Swedish Navy founded?
https://en.wikipedia.org/wiki/Galicia_(Spain)	https://en.wikipedia.org/wiki/Galicia_(Spain)	Galicia (Spain)	en,fi,sv,zh,fr	What is the population of the Spanish region of Galicia?	How large is the Spanish region of Galicia?
https://zh.wikipedia.org/wiki/%E7%B4%85%E7%89%9B%E9%AB%94%E8%82%B2%E5%A0%B4_(%E8%96%A9%E7%88%BE%E6%96%AF%E5%A0%A1)	https://en.wikipedia.org/wiki/Red_Bull_Arena_(Salzburg)	紅牛體育場 (薩爾斯堡)	zh,en,fi,fr,sv	In which country is the Salzburg Red Bull Arena?	What’s the capacity of the Red Bull Arena in Salzburg?
https://sv.wikipedia.org/wiki/Captain_Morgan	https://en.wikipedia.org/wiki/Captain_Morgan	Captain Morgan	sv,en,fr,fi	When was Captain Morgan invented?	When was Captain Morgan sold to Diageo?
https://fr.wikipedia.org/wiki/Championnats_du_monde_de_biathlon_1991	https://en.wikipedia.org/wiki/Biathlon_World_Championships_1991	Championnats du monde de biathlon 1991	fr,en,fi,sv	In which city were the 26th biathlon world championships held?	In which year were the 26th biathlon world championships held?
https://sv.wikipedia.org/wiki/Edu_Manga	https://en.wikipedia.org/wiki/Edu_Manga	Edu Manga	sv,en,fr,fi,zh	What’s the real name of Edu Manga?	What sport did Edu Manga play?
https://zh.wikipedia.org/wiki/%E9%A5%B6%E8%88%8C%E8%80%85%E9%92%B1%E6%96%AF	https://en.wikipedia.org/wiki/Chance_the_Rapper	饶舌者钱斯	zh,en,fi,fr,sv	When did Chance the Rapper debut?	What is the real name of Chance the Rapper?
https://zh.wikipedia.org/wiki/%E4%B8%8B%E5%A1%94%E5%90%89%E5%B0%94	https://en.wikipedia.org/wiki/Nizhny_Tagil	下塔吉尔	zh,en,fi,fr,sv	In which oblast is Nizhny Tagil located?	What is the average temperature in Nizhny Tagil?
https://zh.wikipedia.org/wiki/%E8%96%A9%E8%BF%A6%E6%B3%95%E7%8E%8B	https://en.wikipedia.org/wiki/Sakya_Trizin	薩迦法王	zh,en,fr,sv	Explain what is the Sakya Trizin in a few words.	Who is the current Sakya Trizin?
https://fr.wikipedia.org/wiki/Jef_Raskin	https://en.wikipedia.org/wiki/Jef_Raskin	Jef Raskin	fr,en,fi,sv,zh	When did Jef Raskin die?	Did Jef Raskin start the Macintosh project?
https://zh.wikipedia.org/wiki/2011%E5%B9%B4%E6%AD%90%E6%B4%B2%E8%B6%85%E7%B4%9A%E7%9B%83	https://en.wikipedia.org/wiki/2011_UEFA_Super_Cup	2011年歐洲超級盃	zh,en,fi,fr	Which two teams competed in the 2011 UEFA Super Cup?	Who won the 2011 UEFA Super Cup?
https://en.wikipedia.org/wiki/Antenna_(biology)	https://en.wikipedia.org/wiki/Antenna_(biology)	Antenna (biology)	en,fr,fi,sv,zh	Do all arthropods have antennae?	Which non-crustacean arthropods lack antennae?
https://en.wikipedia.org/wiki/Mario_Bolatti	https://en.wikipedia.org/wiki/Mario_Bolatti	Mario Bolatti	en,fr,fi,sv,zh	In which national football team did Mario Bolatti play?	When and where was Mario Bolatti born?
https://zh.wikipedia.org/wiki/%E7%A7%91%E5%B0%94%E5%AF%9F%E8%87%AA%E6%B2%BB%E7%9C%81	https://en.wikipedia.org/wiki/Autonomous_Province_of_Kor%C3%A7%C3%AB	科尔察自治省	zh,en,fr,sv	Explain what was the Autonomous Province of Korçë in a few words.	When was the Autonomous Province of Korçë established?
https://fr.wikipedia.org/wiki/D%C3%A9partement_de_Federal	https://en.wikipedia.org/wiki/Federal_Department	Département de Federal	fr,en,sv,zh	In which province is the Federal Department of Argentina?	In which province is the Federal Department of Argentina?
https://en.wikipedia.org/wiki/Wheein	https://en.wikipedia.org/wiki/Wheein	Wheein	en,fr,sv,zh	In which K-pop group did Wheein debut?	Where is Wheein from?
https://zh.wikipedia.org/wiki/%E5%9F%83%E8%92%82%E5%A5%A5%E5%8B%92	https://en.wikipedia.org/wiki/%C3%89tiolles	埃蒂奥勒	zh,en,fr,sv	What is the population of Étiolles?	In which French department is Étiolles located?
https://zh.wikipedia.org/wiki/150	https://en.wikipedia.org/wiki/150_(number)	150	zh,en,fr,sv	What are the factors of 150?	What’s 150 in ternary?
