url	en-url	title	langs	question
https://zh.wikipedia.org/wiki/%E6%BE%84%E6%B1%9F%E5%B8%82	https://en.wikipedia.org/wiki/Chengjiang	澄江市	zh,en,fr,sv	When did the Changjiang Fossil Site become a UNESCO World Heritage Site?
https://zh.wikipedia.org/wiki/%E5%B8%8C%E5%BE%B7_(%E7%B4%A2%E6%81%A9-%E5%8D%A2%E7%93%A6%E5%B0%94%E7%9C%81)	https://en.wikipedia.org/wiki/Chiddes,_Sa%C3%B4ne-et-Loire	希德 (索恩-卢瓦尔省)	zh,en,fr,sv	Which region of France is Chiddes located in?
https://zh.wikipedia.org/wiki/%E9%98%BF%E6%96%AF%E9%A1%BF%C2%B7%E9%A9%AC%E4%B8%81V12_Vanquish	https://en.wikipedia.org/wiki/Aston_Martin_Vanquish	阿斯顿·马丁V12 Vanquish	zh,en,fi,fr,sv	In which film does James Bond drive an Aston Martin V12 Vanquish?
https://en.wikipedia.org/wiki/Hamilton_Academical_F.C.	https://en.wikipedia.org/wiki/Hamilton_Academical_F.C.	Hamilton Academical F.C.	en,fi,sv,zh,fr	Where do Hamilton Academical F.C.'s play their home matches?
https://en.wikipedia.org/wiki/Cilleruelo_de_San_Mam%C3%A9s	https://en.wikipedia.org/wiki/Cilleruelo_de_San_Mam%C3%A9s	Cilleruelo de San Mamés	en,fr,sv,zh	In which country is Cilleruelo de San Mamés located?
https://zh.wikipedia.org/wiki/%E9%85%92%E7%94%B0%E5%B8%82	https://en.wikipedia.org/wiki/Sakata,_Yamagata	酒田市	zh,en,fi,fr,sv	Which mountain lies on the northern border of Sakata, Japan?
https://fr.wikipedia.org/wiki/Pachychilon_pictum	https://en.wikipedia.org/wiki/Pachychilon_pictum	Pachychilon pictum	fr,en,sv,zh	Which family does the Albanian roach belong to?
https://zh.wikipedia.org/wiki/VinFast	https://en.wikipedia.org/wiki/VinFast	VinFast	zh,en,fi,fr,sv	Which company sold the Lang Lang Proving Ground test track to VinFast?
https://zh.wikipedia.org/wiki/%E7%93%A6%E5%B0%94%E5%BE%B7%E9%9F%A6%E5%8B%92	https://en.wikipedia.org/wiki/Waldweiler	瓦尔德韦勒	zh,en,fr,sv	What is the dialing code for Waldweiler, Germany?
https://fr.wikipedia.org/wiki/Cap-Vert_aux_Jeux_olympiques	https://en.wikipedia.org/wiki/Cape_Verde_at_the_Olympics	Cap-Vert aux Jeux olympiques	fr,en,fi,sv,zh	When did Cape Verde first participate in the Summer Olympics?
https://zh.wikipedia.org/wiki/%E5%8D%A2%E6%A0%BC%E6%9D%9C%E5%8A%AA%E5%A7%86	https://en.wikipedia.org/wiki/Lugdunum	卢格杜努姆	zh,en,fr,sv	Which Roman emperors were born in Lugdunum?
https://fr.wikipedia.org/wiki/Al%C3%A9m_Para%C3%ADba	https://en.wikipedia.org/wiki/Al%C3%A9m_Para%C3%ADba	Além Paraíba	fr,en,sv,zh	When was the Empreza Ferro Carril Além Parahyba railyway in operation?
https://fr.wikipedia.org/wiki/The_Leftovers	https://en.wikipedia.org/wiki/The_Leftovers_(TV_series)	The Leftovers	fr,en,fi,sv	Who played the police chief in The Leftovers?
https://en.wikipedia.org/wiki/White_Collar_(TV_series)	https://en.wikipedia.org/wiki/White_Collar_(TV_series)	White Collar (TV series)	en,fi,sv,zh,fr	Who is the head of the FBI’s White Collar Crimes Unit in the series White Collar?
https://sv.wikipedia.org/wiki/HMY_Britannia	https://en.wikipedia.org/wiki/HMY_Britannia	HMY Britannia	sv,en,fr,fi,zh	Where is HMY Britannia berthed?
https://sv.wikipedia.org/wiki/Uda_(kejsare)	https://en.wikipedia.org/wiki/Emperor_Uda	Uda (kejsare)	sv,en,fr,zh	When did Emperor Uda abdicate?
https://en.wikipedia.org/wiki/Pasteur_(lunar_crater)	https://en.wikipedia.org/wiki/Pasteur_(lunar_crater)	Pasteur (lunar crater)	en,fr,sv,zh	Who was the Pasteur lunar crater named after?
https://fr.wikipedia.org/wiki/%C3%82ge_d%27or_danois	https://en.wikipedia.org/wiki/Danish_Golden_Age	Âge d'or danois	fr,en,sv,zh	What is the Danish Golden Age called in Danish?
https://fr.wikipedia.org/wiki/Peter_Iwers	https://en.wikipedia.org/wiki/Peter_Iwers	Peter Iwers	fr,en,fi,sv	Which band did Peter Iwers play in before joining In Flames?
https://sv.wikipedia.org/wiki/Toru%C5%84	https://en.wikipedia.org/wiki/Toru%C5%84	Toruń	sv,en,fr,fi,zh	When was Toruń part of the Hanseatic League?
https://sv.wikipedia.org/wiki/Vaux-en-Ami%C3%A9nois	https://en.wikipedia.org/wiki/Vaux-en-Ami%C3%A9nois	Vaux-en-Amiénois	sv,en,fr,zh	Which region of France is Vaux-en-Amiénois located in?
https://zh.wikipedia.org/wiki/%E7%BD%97%E6%A3%AE%E5%A4%9A%E5%A4%AB	https://en.wikipedia.org/wiki/Rosendorf	罗森多夫	zh,en,fr,sv	Which municipal association does Rosendorf belong to?
