URL-idx	Primary Wikipedia URL	title	url-localized	Question
112	https://sv.wikipedia.org/wiki/La_Belli%C3%A8re,_Seine-Maritime	La Bellière, Seine-Maritime	https://fr.wikipedia.org/wiki/La_Bellière_(Seine-Maritime)	À la suite de quel grand événement a été créee la ville de La Bellière ?
475	https://sv.wikipedia.org/wiki/Carlo_Gozzi	Carlo Gozzi	https://fr.wikipedia.org/wiki/Carlo_Gozzi	À quel âge le comte Carlo Gozzi s'est-il engagé dans l'armée ?
91	https://en.wikipedia.org/wiki/Spotted_blue-eye	Spotted blue-eye	https://fr.wikipedia.org/wiki/Pseudomugil_gertrudae	À quel embranchement appartient l'espèce Pseudomugil gertrudae  ?
308	https://zh.wikipedia.org/wiki/%E8%AD%A6%E5%AF%9F%E5%AD%A6%E6%A0%A1_(%E7%94%B5%E5%BD%B1)	警察学校 (电影)	https://fr.wikipedia.org/wiki/Police_Academy_(film)	À quel genre appartient le film Police Academy ?
269	https://sv.wikipedia.org/wiki/Tucum%C3%A1ntangara	Tucumántangara	https://fr.wikipedia.org/wiki/Chipiu_de_Tucuman	À quel ordre appartient le Chipiu de Tucuman ?
90	https://en.wikipedia.org/wiki/Mario_Bolatti	Mario Bolatti	https://fr.wikipedia.org/wiki/Mario_Bolatti	À quel poste jouait Mario Bolatti lorsqu'il a rejoint le club de l'AC Fiorentina ?
248	https://fr.wikipedia.org/wiki/Alberto_Fouillioux	Alberto Fouillioux	https://fr.wikipedia.org/wiki/Alberto_Fouillioux	À quel poste le footballeur Alberto Fouillioux a-t-il joué principalement ?
140	https://zh.wikipedia.org/wiki/%E5%8F%A4%E5%B7%B4%E5%9C%8B%E5%AE%B6%E7%94%B7%E5%AD%90%E6%8E%92%E7%90%83%E9%9A%8A	古巴國家男子排球隊	https://fr.wikipedia.org/wiki/Équipe_de_Cuba_masculine_de_volley-ball	À quel rang de la fédération internationale de volley-ball l'équipe de Cuba est-elle classée ? 
257	https://sv.wikipedia.org/wiki/Uda_(kejsare)	Uda (kejsare)	https://fr.wikipedia.org/wiki/Uda_(empereur)	À quel statut l'empereur Kōkō a-t-il fait passer ses fils ?
302	https://zh.wikipedia.org/wiki/%E9%98%BF%E7%88%BE%E5%A1%94%E8%BF%AA%E7%B4%8D_(%E5%8A%A0%E5%88%A9%E7%A6%8F%E5%B0%BC%E4%BA%9E%E5%B7%9E)	阿爾塔迪納 (加利福尼亞州)	https://fr.wikipedia.org/wiki/Altadena	À quelle altitude se situe Altadena ?
516	https://hi.wikipedia.org/wiki/%E0%A4%AF%E0%A5%8B%E0%A4%B9%E0%A4%BE%E0%A4%A8_%E0%A4%B8%E0%A5%87%E0%A4%AC%E0%A4%BE%E0%A4%B8%E0%A5%8D%E0%A4%A4%E0%A4%BF%E0%A4%AF%E0%A4%A8_%E0%A4%AC%E0%A4%BE%E0%A4%96%E0%A4%BC	योहान सेबास्तियन बाख़	https://fr.wikipedia.org/wiki/Jean-S%C3%A9bastien_Bach	À quelle date Bach s’installe-t-il à Leipzig?
518	https://hi.wikipedia.org/wiki/%E0%A4%A6%E0%A5%80_%E0%A4%8F%E0%A4%9C_%E0%A4%91%E0%A4%AB%E0%A4%BC_%E0%A4%B0%E0%A5%80%E0%A4%9C%E0%A4%BC%E0%A4%A8	दी एज ऑफ़ रीज़न	https://fr.wikipedia.org/wiki/Le_Si%C3%A8cle_de_la_raison	À quelle date est paru “Le Siècle de la raison” de Thomas Paine?
85	https://zh.wikipedia.org/wiki/%E9%93%B2%E9%BD%BF%E4%B8%AD%E5%96%99%E9%B2%B8	铲齿中喙鲸	https://fr.wikipedia.org/wiki/Baleine_à_bec_de_Travers	À quelle espèce appartient le Mesoplon Traversii ?
491	https://en.wikipedia.org/wiki/Apsilus	Apsilus	https://fr.wikipedia.org/wiki/Apsilus	À quelle famille appartient l'Apsilus ?
130	https://zh.wikipedia.org/wiki/%E9%98%BF%E5%B0%94%E5%8D%91%E6%96%AF%E5%B8%A6	阿尔卑斯带	https://fr.wikipedia.org/wiki/Ceinture_alpine	À quelle période a commencé à se former la ceinture alpine ?
25	https://en.wikipedia.org/wiki/White_Collar_(TV_series)	White Collar (TV series)	https://fr.wikipedia.org/wiki/FBI_:_Duo_très_spécial	À quelle société de doublage a été confiée l’adaptation en français de la série White Collar?
218	https://sv.wikipedia.org/wiki/Emerging_Church	Emerging Church	https://fr.wikipedia.org/wiki/Église_émergente	À quels pasteurs les originies de L'Église émergente est-elle associée ?
223	https://en.wikipedia.org/wiki/Andrei_Kravchuk	Andrei Kravchuk	https://fr.wikipedia.org/wiki/Andreï_Kravtchouk	À qui Andreï Kravtchouk est-il marié ?
499	https://zh.wikipedia.org/wiki/%E5%88%86%E5%AD%90%E7%94%9F%E7%89%A9%E5%AD%A6	分子生物学	https://fr.wikipedia.org/wiki/Biologie_moléculaire	À qui doit-on le terme “biologie moléculaire”?
199	https://zh.wikipedia.org/wiki/%E9%85%92%E7%94%B0%E5%B8%82	酒田市	https://fr.wikipedia.org/wiki/Sakata_(Yamagata)	Au bord de quelle mer se trouve la ville de Sakata dans la préfecture de Yamagata ?
152	https://zh.wikipedia.org/wiki/%E9%87%8C%E5%BE%B9%E9%AB%98%E5%9C%B0	里徹高地	https://fr.wikipedia.org/wiki/Ritscher_Upland	Au cours de quelle expédition le Ritscher Upland  a-t-il été découvert ?
