Primary Wikipedia URL	title	URL-de	question
https://en.wikipedia.org/wiki/David_F._Sandberg	David F. Sandberg	https://de.wikipedia.org/wiki/David_F._Sandberg	Welche Filme produzierte David Sandberg im Jahr 2014?
https://en.wikipedia.org/wiki/Mouthier-Haute-Pierre	Mouthier-Haute-Pierre	https://de.wikipedia.org/wiki/Mouthier-Haute-Pierre	Wann wurde das Benediktinerklosters Saint-Pierre de la Haute-Pierre gegründet?
https://en.wikipedia.org/wiki/Cilleruelo_de_San_Mam%C3%A9s	Cilleruelo de San Mamés	https://de.wikipedia.org/wiki/Cilleruelo_de_San_Mamés	In welcher Provinz liegt die spanische Gemeinde Cilleruelo de San Mamés?
https://en.wikipedia.org/wiki/Helsingin_Jalkapalloklubi	Helsingin Jalkapalloklubi	https://de.wikipedia.org/wiki/HJK_Helsinki	Zu welchem Verein wechselte Dawda Bah im Jahr 2011?
https://en.wikipedia.org/wiki/Gampel-Bratsch	Gampel-Bratsch	https://de.wikipedia.org/wiki/Gampel-Bratsch	"Welchen Preis gewann der Dokumentarfilm ""Bratsch – Ein Dorf macht Schule""?"
https://en.wikipedia.org/wiki/Pet_store	Pet store	https://de.wikipedia.org/wiki/Zoofachgeschäft	Wie viele Zoofachgeschäfte gab es 2020 in Deutschland?
https://en.wikipedia.org/wiki/Tilia_dasystyla	Tilia dasystyla	https://de.wikipedia.org/wiki/Kaukasische_Linde	Zu welcher Familie gehört die Kaukasische Linde?
https://en.wikipedia.org/wiki/White-winged_chough	White-winged chough	https://de.wikipedia.org/wiki/Drosselkrähe	Wie viel wiegt eine Drosselkrähe?
https://en.wikipedia.org/wiki/Input%E2%80%93output_memory_management_unit	Input–output memory management unit	https://de.wikipedia.org/wiki/IOMMU	Wofür steht die Abkürzung IOMMU?
https://en.wikipedia.org/wiki/FC_Zhenis	FC Zhenis	https://de.wikipedia.org/wiki/FK_Astana-1964	Gegen welchen Verein gewann der kasachische Verein FK Astana-1964 seinen zweiten Pokalsieg?
https://en.wikipedia.org/wiki/Herpy-l%27Arl%C3%A9sienne	Herpy-l'Arlésienne	https://de.wikipedia.org/wiki/Herpy-l’Arlésienne	Welcher Fluss grenzt im Süden an Herpy-l’Arlésienne?
https://en.wikipedia.org/wiki/Petra_van_Staveren	Petra van Staveren	https://de.wikipedia.org/wiki/Petra_van_Staveren	Wer gewann die 100m Brust der Damen bei den Olympischen Spielen 1984?
https://en.wikipedia.org/wiki/Paul_Egede	Paul Egede	https://de.wikipedia.org/wiki/Poul_Egede	Wie heisst der älteste Sohn von Hans Egede?
https://en.wikipedia.org/wiki/Carl_L%C3%B6wenhielm	Carl Löwenhielm	https://de.wikipedia.org/wiki/Carl_Axel_Löwenhielm	In welcher Zeit war Carl Axel Löwenhielm in Sankt Petersburg?
https://en.wikipedia.org/wiki/H%C3%BCffelsheim	Hüffelsheim	https://de.wikipedia.org/wiki/Hüffelsheim	Wie alt ist Hüffelsheim?
https://en.wikipedia.org/wiki/Western_oriole	Western oriole	https://de.wikipedia.org/wiki/Dschungelpirol	Wovon ernährt sich ein Dschungelpirol?
https://en.wikipedia.org/wiki/White_Collar_(TV_series)	White Collar (TV series)	https://de.wikipedia.org/wiki/White_Collar_(Fernsehserie)	"In welchem deutschen Fernsehkanal wurde die amerikanische Serie ""White Collar"" ausgestrahlt?"
https://en.wikipedia.org/wiki/Dharma_name	Dharma name	https://de.wikipedia.org/wiki/Kaimyō	Was ist ein Kaimyō?
https://en.wikipedia.org/wiki/Ted_Lange	Ted Lange	https://de.wikipedia.org/wiki/Ted_Lange	"Welche Rolle spielte Ted Lange in der Serie ""Love Boat""?"
https://en.wikipedia.org/wiki/Chris_Claremont	Chris Claremont	https://de.wikipedia.org/wiki/Chris_Claremont	Wie heißen die drei Romane in der Schattentrilogie von Chris Claremont?
https://en.wikipedia.org/wiki/Bundesautobahn_73	Bundesautobahn 73	https://de.wikipedia.org/wiki/Bundesautobahn_73	Wo beginnt die Bundesautobahn 73?
https://en.wikipedia.org/wiki/Gianrico_Carofiglio	Gianrico Carofiglio	https://de.wikipedia.org/wiki/Gianrico_Carofiglio	Wann wurde Gianrico Carofiglio in die zweite Kammer des italienischen Parlaments gewählt und wie lange war er Senator in dieser Kammer?
https://en.wikipedia.org/wiki/Bischofsheim,_Hesse	Bischofsheim, Hesse	https://de.wikipedia.org/wiki/Bischofsheim_(Mainspitze)	Wie lange war Bischofsheim ein Stadtteil von Mainz?
https://en.wikipedia.org/wiki/Hamilton_Academical_F.C.	Hamilton Academical F.C.	https://de.wikipedia.org/wiki/Hamilton_Academical	Gegen welchen Verein verlor Hamilton Academical im entscheidenden Playoff Finale und musste in die dritte Liga absteigen im Jahr 2023?
https://en.wikipedia.org/wiki/Swedish_Navy	Swedish Navy	https://de.wikipedia.org/wiki/Schwedische_Marine	Wann lief ein sowjetisches U-Boot vor Karlskrona auf Grund während des Kalten Kriegs?
https://en.wikipedia.org/wiki/Pennard	Pennard	https://de.wikipedia.org/wiki/Pennard	Wer entwarf den Pennard Golf Club?
https://en.wikipedia.org/wiki/Galicia_(Spain)	Galicia (Spain)	https://de.wikipedia.org/wiki/Galicien	Wie lang ist die Küste Galiciens?
https://zh.wikipedia.org/wiki/%E5%92%8C%E5%B9%B3%E5%8F%B7%E7%A9%BA%E9%97%B4%E7%AB%99	和平号空间站	https://de.wikipedia.org/wiki/Mir_(Raumstation)	Wie lange war die Raumstation Mir im Weltall und wie viele Male umkreiste sie die Erde?
https://zh.wikipedia.org/wiki/%E6%88%B4%E5%A4%AB%C2%B7%E5%BC%97%E8%98%AD%E7%A7%91	戴夫·弗蘭科	https://de.wikipedia.org/wiki/Dave_Franco	Wie heißen die Brüder des amerikanischen Schauspielers Dave Franco?
https://zh.wikipedia.org/wiki/%E5%88%B6%E8%A3%81%E8%80%85_(%E9%9B%BB%E8%A6%96%E5%8A%87)	制裁者 (電視劇)	https://de.wikipedia.org/wiki/Marvel’s_The_Punisher	"Wer ist der Vorgesetzte von Dinah Madani in der amerikanischen Fernsehserie ""The Punisher""?"
https://zh.wikipedia.org/wiki/%E5%A1%94%E5%B9%B3%E5%8E%BF	塔平县	https://de.wikipedia.org/wiki/Tapin	Welche Regierungsbezirke grenzen im Norden an das indonesische Tapin?
https://zh.wikipedia.org/wiki/%E7%B4%85%E7%89%9B%E9%AB%94%E8%82%B2%E5%A0%B4_(%E8%96%A9%E7%88%BE%E6%96%AF%E5%A0%A1)	紅牛體育場 (薩爾斯堡)	https://de.wikipedia.org/wiki/Red_Bull_Arena_(Wals-Siezenheim)	In welcher Weise wurde die Red Bull Arena in Wals-Siezenheim für die Fussball-EM umgebaut?
https://sv.wikipedia.org/wiki/Captain_Morgan	Captain Morgan	https://de.wikipedia.org/wiki/Captain_Morgan	Welches Unternehmen produziert die Rummarke Captain Morgan?
https://zh.wikipedia.org/wiki/%E8%93%AC%E4%BD%90%E5%86%85	蓬佐内	https://de.wikipedia.org/wiki/Ponzone	Auf welcher Höhe liegt die italienische Gemeinde Ponzone?
https://fr.wikipedia.org/wiki/%C3%89tude_cas-t%C3%A9moins	Étude cas-témoins	https://de.wikipedia.org/wiki/Fall-Kontroll-Studie	Was wies Sir Richard Doll im Jahr 1951 mit einer Fall-Kontroll-Studie nach?
https://fr.wikipedia.org/wiki/Championnats_du_monde_de_biathlon_1991	Championnats du monde de biathlon 1991	https://de.wikipedia.org/wiki/Biathlon-Weltmeisterschaften_1991	In welcher Stadt fanden die Biathlon-Weltmeisterschaften 1991 statt?
https://sv.wikipedia.org/wiki/Edu_Manga	Edu Manga	https://de.wikipedia.org/wiki/Eduardo_Antônio_dos_Santos	Wie viele Tore erzielte Eduardo Antônio dos Santos in seiner ersten Saison für Real Valladolid?
https://sv.wikipedia.org/wiki/A_Portuguesa	A Portuguesa	https://de.wikipedia.org/wiki/A_Portuguesa	Wer komponierte die Nationalhymne Portugals?
https://sv.wikipedia.org/wiki/Bleeding_Kansas	Bleeding Kansas	https://de.wikipedia.org/wiki/Bleeding_Kansas	"Was war der Anlass für die Auseinandersetzungen im Kansas-Territorium, die unter dem Namen ""Bleeding Kansas"" bekannt geworden sind?"
https://zh.wikipedia.org/wiki/%E9%A5%B6%E8%88%8C%E8%80%85%E9%92%B1%E6%96%AF	饶舌者钱斯	https://de.wikipedia.org/wiki/Chance_the_Rapper	"Welchen Preis gewann das Album ""Coloring Book"" von Chance the Rapper?"
https://zh.wikipedia.org/wiki/%E7%93%A6%E7%88%BE%E9%87%8C%E7%A7%91_(%E4%BD%9B%E7%BE%85%E9%87%8C%E9%81%94%E5%B7%9E)	瓦爾里科 (佛羅里達州)	https://de.wikipedia.org/wiki/Valrico	Unter welchem Namen war die Region Valrico in Florida bekannt, bevor sie in Valrico umbenannt wurde?
https://zh.wikipedia.org/wiki/%E4%B8%8B%E5%A1%94%E5%90%89%E5%B0%94	下塔吉尔	https://de.wikipedia.org/wiki/Nischni_Tagil	Was bedeutet Nischni Tagil?
https://zh.wikipedia.org/wiki/%E5%8A%9B	力	https://de.wikipedia.org/wiki/Kraft	In welcher Maßeinheit wird physikalische Kraft gemessen laut dem internationalen Einheitensystem SI?
https://fr.wikipedia.org/wiki/Quarten	Quarten	https://de.wikipedia.org/wiki/Quarten	Wie groß ist der Höhenunterschied zwischen dem tiefsten und dem höchsten Punkt in der Schweizer Gemeinde Quarten?
https://sv.wikipedia.org/wiki/V%C3%A4rldsm%C3%A4sterskapet_i_ishockey_f%C3%B6r_herrar_1931	Världsmästerskapet i ishockey för herrar 1931	https://de.wikipedia.org/wiki/Eishockey-Weltmeisterschaft_1931	In welchem Land fand die 5. Eishockeyweltmeisterschaft statt?
https://zh.wikipedia.org/wiki/%E8%96%A9%E8%BF%A6%E6%B3%95%E7%8E%8B	薩迦法王	https://de.wikipedia.org/wiki/Sakya_Thridzin	Was ist der Titel des Oberhaupts der Sakya-Schule im tibetischen Buddhismus?
https://sv.wikipedia.org/wiki/Toru%C5%84	Toruń	https://de.wikipedia.org/wiki/Toruń	Warum wurde die polnische Stadt Toruń im 13. Jahrhundert ein paar Kilometer nach Osten verlegt?
https://en.wikipedia.org/wiki/Gregory_III_Laham	Gregory III Laham	https://de.wikipedia.org/wiki/Gregor_III._Laham	Wo promovierte Gregor III. Laham?
https://sv.wikipedia.org/wiki/F%C3%B6rlossning	Förlossning	https://de.wikipedia.org/wiki/Geburt	Wie lange dauert eine Schwangerschaft beim Menschen?
https://fr.wikipedia.org/wiki/Jef_Raskin	Jef Raskin	https://de.wikipedia.org/wiki/Jef_Raskin	Welche Firma gründete Jef Raskin im Jahr 1975?
https://fr.wikipedia.org/wiki/Delley-Portalban	Delley-Portalban	https://de.wikipedia.org/wiki/Delley-Portalban	Wie hoch ist der albanisch-sprechende Anteil der Einwohner in Delley-Portalban in der Schweiz?
https://zh.wikipedia.org/wiki/%E5%87%B1%E4%BC%8A%E7%88%BE%C2%B7%E7%99%BD%E6%9C%97%E5%AF%A7	凱伊爾·白朗寧	https://de.wikipedia.org/wiki/Kayle_Browning	Wie viele olympische Medaillen gewann Kayle Browning?
