url	title	languages
https://en.wikipedia.org/wiki/David_F._Sandberg	David F. Sandberg	ar,en,es,fi,fr,it,sv,zh
https://en.wikipedia.org/wiki/Nokia_E5-00	Nokia E5-00	ar,en,fi,fr
https://en.wikipedia.org/wiki/Mouthier-Haute-Pierre	Mouthier-Haute-Pierre	en,es,fr,it,sv,zh
https://en.wikipedia.org/wiki/Cyrtophora_moluccensis	Cyrtophora moluccensis	en,fr,sv,zh
https://en.wikipedia.org/wiki/Cilleruelo_de_San_Mam%C3%A9s	Cilleruelo de San Mamés	en,es,fr,it,sv,zh
https://en.wikipedia.org/wiki/Helsingin_Jalkapalloklubi	Helsingin Jalkapalloklubi	ar,en,es,fi,fr,it,sv,zh
https://en.wikipedia.org/wiki/Zonitoides	Zonitoides	en,sv,zh
https://en.wikipedia.org/wiki/Gampel-Bratsch	Gampel-Bratsch	en,es,fr,it,sv,zh
https://en.wikipedia.org/wiki/Pet_store	Pet store	en,es,fi,fr,it,zh
https://en.wikipedia.org/wiki/Tilia_dasystyla	Tilia dasystyla	en,fr,sv
https://en.wikipedia.org/wiki/White-winged_chough	White-winged chough	en,es,fi,fr,it,sv
https://en.wikipedia.org/wiki/Input%E2%80%93output_memory_management_unit	Input–output memory management unit	en,es,fi,it,zh
https://en.wikipedia.org/wiki/1997%E2%80%9398_Asian_Club_Championship	1997–98 Asian Club Championship	ar,en,es,fr,it,zh
https://en.wikipedia.org/wiki/FC_Zhenis	FC Zhenis	en,es,fi,fr,it,zh
https://en.wikipedia.org/wiki/Herpy-l%27Arl%C3%A9sienne	Herpy-l'Arlésienne	en,es,fi,fr,it,sv,zh
https://en.wikipedia.org/wiki/Irus_irus	Irus irus	en,sv,zh
https://en.wikipedia.org/wiki/Petra_van_Staveren	Petra van Staveren	en,es,fi,fr,it,sv,zh
https://en.wikipedia.org/wiki/Paul_Egede	Paul Egede	en,es,fr,sv
https://en.wikipedia.org/wiki/Argyrosomus_hololepidotus	Argyrosomus hololepidotus	en,es,sv,zh
https://en.wikipedia.org/wiki/Carl_L%C3%B6wenhielm	Carl Löwenhielm	en,es,fi,fr,sv
https://en.wikipedia.org/wiki/H%C3%BCffelsheim	Hüffelsheim	ar,en,es,fr,it,sv,zh
https://en.wikipedia.org/wiki/Steelville,_Missouri	Steelville, Missouri	ar,en,es,fr,it,sv,zh
