Primary Wikipedia URL	title	langs	Link in English	Link in Finnish	Link in German	Link in Swedish	Link in Chinese	Link in French	Link in Spanish	Link in Arabic	Link in Hindi	Link in Italian	Link in Basque	Link in Catalan	Link in Czech
https://en.wikipedia.org/wiki/Galicia_(Spain)	Galicia (Spain)	ar,ca,cs,de,en,es,eu,fi,fr,hi,it,sv,zh	https://en.wikipedia.org/wiki/Galicia_(Spain)	https://fi.wikipedia.org/wiki/Galicia	https://de.wikipedia.org/wiki/Galicien	https://sv.wikipedia.org/wiki/Galicien	https://zh.wikipedia.org/wiki/%E5%8A%A0%E5%88%A9%E8%A5%BF%E4%BA%9A_(%E8%A5%BF%E7%8F%AD%E7%89%99)	https://fr.wikipedia.org/wiki/Galice	https://es.wikipedia.org/wiki/Galicia	https://ar.wikipedia.org/wiki/%D8%AC%D9%84%D9%8A%D9%82%D9%8A%D8%A9_(%D9%85%D9%86%D8%B7%D9%82%D8%A9)	https://hi.wikipedia.org/wiki/%E0%A4%97%E0%A4%B2%E0%A4%BF%E0%A4%B6%E0%A4%BF%E0%A4%AF%E0%A4%BE_(%E0%A4%B8%E0%A5%8D%E0%A4%AA%E0%A5%87%E0%A4%A8)	https://it.wikipedia.org/wiki/Galizia_(Spagna)	https://eu.wikipedia.org/wiki/Galizia	https://ca.wikipedia.org/wiki/Gal%C3%ADcia	https://cs.wikipedia.org/wiki/Galicie
https://en.wikipedia.org/wiki/White_Collar_(TV_series)	White Collar (TV series)	ca,de,en,es,fi,fr,hi,it,sv,zh	https://en.wikipedia.org/wiki/White_Collar_(TV_series)	https://fi.wikipedia.org/wiki/Kovat_kaulassa	https://de.wikipedia.org/wiki/White_Collar_(Fernsehserie)	https://sv.wikipedia.org/wiki/White_Collar	https://zh.wikipedia.org/wiki/%E5%A6%99%E8%AD%A6%E8%B3%8A%E6%8E%A2	https://fr.wikipedia.org/wiki/FBI_:_Duo_tr%C3%A8s_sp%C3%A9cial	https://es.wikipedia.org/wiki/White_Collar	X	https://hi.wikipedia.org/wiki/%E0%A4%B5%E0%A5%8D%E0%A4%B9%E0%A4%BE%E0%A4%87%E0%A4%9F_%E0%A4%95%E0%A5%89%E0%A4%B2%E0%A4%B0	https://it.wikipedia.org/wiki/White_Collar	X	https://ca.wikipedia.org/wiki/White_Collar	X
https://zh.wikipedia.org/wiki/%E6%88%B4%E5%A4%AB%C2%B7%E5%BC%97%E8%98%AD%E7%A7%91	戴夫·弗蘭科	ar,ca,cs,de,en,es,eu,fi,fr,hi,it,sv,zh	https://en.wikipedia.org/wiki/Dave_Franco	https://fi.wikipedia.org/wiki/Dave_Franco	https://de.wikipedia.org/wiki/Dave_Franco	https://sv.wikipedia.org/wiki/Dave_Franco	https://zh.wikipedia.org/wiki/%E6%88%B4%E5%A4%AB%C2%B7%E5%BC%97%E8%98%AD%E7%A7%91	https://fr.wikipedia.org/wiki/Dave_Franco	https://es.wikipedia.org/wiki/Dave_Franco	https://ar.wikipedia.org/wiki/%D8%AF%D9%8A%D9%81_%D9%81%D8%B1%D8%A7%D9%86%D9%83%D9%88	https://hi.wikipedia.org/wiki/%E0%A4%A1%E0%A5%87%E0%A4%B5_%E0%A4%AB%E0%A5%8D%E0%A4%B0%E0%A5%87%E0%A4%82%E0%A4%95%E0%A5%8B	https://it.wikipedia.org/wiki/Dave_Franco	https://eu.wikipedia.org/wiki/Dave_Franco	https://ca.wikipedia.org/wiki/Dave_Franco	https://cs.wikipedia.org/wiki/Dave_Franco
https://zh.wikipedia.org/wiki/%E7%B4%85%E7%89%9B%E9%AB%94%E8%82%B2%E5%A0%B4_(%E8%96%A9%E7%88%BE%E6%96%AF%E5%A0%A1)	紅牛體育場 (薩爾斯堡)	ar,cs,de,en,es,eu,fi,fr,it,sv,zh	https://en.wikipedia.org/wiki/Red_Bull_Arena_(Salzburg)	https://fi.wikipedia.org/wiki/Red_Bull_Arena_(Salzburg)	https://de.wikipedia.org/wiki/Red_Bull_Arena_(Wals-Siezenheim)	https://sv.wikipedia.org/wiki/Red_Bull_Arena,_Wals-Siezenheim	https://zh.wikipedia.org/wiki/%E7%B4%85%E7%89%9B%E9%AB%94%E8%82%B2%E5%A0%B4_(%E8%96%A9%E7%88%BE%E6%96%AF%E5%A0%A1)	https://fr.wikipedia.org/wiki/Red_Bull_Arena_(Salzbourg)	https://es.wikipedia.org/wiki/Red_Bull_Arena_(Salzburgo)	https://ar.wikipedia.org/wiki/%D8%B1%D9%8A%D8%AF_%D8%A8%D9%84_%D8%A3%D8%B1%D9%8A%D9%86%D8%A7_(%D8%B2%D8%A7%D9%84%D8%AA%D8%B3%D8%A8%D9%88%D8%B1%D8%BA)	X	https://it.wikipedia.org/wiki/Stadion_Wals-Siezenheim	https://eu.wikipedia.org/wiki/Red_Bull_Arena	X	https://cs.wikipedia.org/wiki/Red_Bull_Arena_(Salcburk)
https://zh.wikipedia.org/wiki/%E9%A5%B6%E8%88%8C%E8%80%85%E9%92%B1%E6%96%AF	饶舌者钱斯	ar,cs,de,en,es,fi,fr,it,sv,zh	https://en.wikipedia.org/wiki/Chance_the_Rapper	https://fi.wikipedia.org/wiki/Chance_the_Rapper	https://de.wikipedia.org/wiki/Chance_the_Rapper	https://sv.wikipedia.org/wiki/Chance_the_Rapper	https://zh.wikipedia.org/wiki/%E9%A5%B6%E8%88%8C%E8%80%85%E9%92%B1%E6%96%AF	https://fr.wikipedia.org/wiki/Chance_the_Rapper	https://es.wikipedia.org/wiki/Chance_the_Rapper	https://ar.wikipedia.org/wiki/%D8%AA%D8%B4%D8%A7%D9%86%D8%B3_%D8%B0%D8%A7_%D8%B1%D8%A7%D8%A8%D8%B1	X	https://it.wikipedia.org/wiki/Chance_the_Rapper	X	X	https://cs.wikipedia.org/wiki/Chance_the_Rapper
https://sv.wikipedia.org/wiki/F%C3%B6rlossning	Förlossning	ar,ca,cs,de,en,es,eu,fi,fr,hi,it,sv,zh	https://en.wikipedia.org/wiki/Childbirth	https://fi.wikipedia.org/wiki/Synnytys	https://de.wikipedia.org/wiki/Geburt	https://sv.wikipedia.org/wiki/F%C3%B6rlossning	https://zh.wikipedia.org/wiki/%E5%88%86%E5%A8%A9	https://fr.wikipedia.org/wiki/Accouchement	https://es.wikipedia.org/wiki/Parto	https://ar.wikipedia.org/wiki/%D9%88%D9%84%D8%A7%D8%AF%D8%A9	https://hi.wikipedia.org/wiki/%E0%A4%B8%E0%A4%A8%E0%A5%8D%E0%A4%A4%E0%A4%BE%E0%A4%A8_%E0%A4%AA%E0%A5%8D%E0%A4%B0%E0%A4%B8%E0%A4%B5	https://it.wikipedia.org/wiki/Parto	https://eu.wikipedia.org/wiki/Giza_erditze	https://ca.wikipedia.org/wiki/Treball_de_part	https://cs.wikipedia.org/wiki/Porod
https://en.wikipedia.org/wiki/Antenna_(biology)	Antenna (biology)	ar,ca,cs,de,en,es,eu,fi,fr,hi,it,sv,zh	https://en.wikipedia.org/wiki/Antenna_(biology)	https://fi.wikipedia.org/wiki/Tuntosarvi	https://de.wikipedia.org/wiki/F%C3%BChler_(Biologie)	https://sv.wikipedia.org/wiki/K%C3%A4nselspr%C3%B6t	https://zh.wikipedia.org/wiki/%E8%A7%B8%E8%A7%92	https://fr.wikipedia.org/wiki/Antenne_(biologie)	https://es.wikipedia.org/wiki/Antena_(artr%C3%B3podos)	https://ar.wikipedia.org/wiki/%D9%82%D8%B1%D9%86_%D8%A7%D8%B3%D8%AA%D8%B4%D8%B9%D8%A7%D8%B1	https://hi.wikipedia.org/wiki/%E0%A4%B6%E0%A5%83%E0%A4%82%E0%A4%97%E0%A4%BF%E0%A4%95%E0%A4%BE	https://it.wikipedia.org/wiki/Antenna_degli_insetti	https://eu.wikipedia.org/wiki/Antena_(biologia)	https://ca.wikipedia.org/wiki/Antena_(biologia)	https://cs.wikipedia.org/wiki/Tykadlo
https://en.wikipedia.org/wiki/Petra_van_Staveren	Petra van Staveren	de,en,es,fi,fr,it,sv,zh	https://en.wikipedia.org/wiki/Petra_van_Staveren	https://fi.wikipedia.org/wiki/Petra_van_Staveren	https://de.wikipedia.org/wiki/Petra_van_Staveren	https://sv.wikipedia.org/wiki/Petra_van_Staveren	https://zh.wikipedia.org/wiki/%E5%BD%BC%E5%BE%97%E6%8B%89%C2%B7%E8%8C%83%E6%96%AF%E5%A1%94%E5%BC%97%E4%BC%A6	https://fr.wikipedia.org/wiki/Petra_van_Staveren	https://es.wikipedia.org/wiki/Petra_van_Staveren	X	X	https://it.wikipedia.org/wiki/Petra_van_Staveren	X	X	X
https://en.wikipedia.org/wiki/Hamilton_Academical_F.C.	Hamilton Academical F.C.	ar,cs,de,en,es,fi,fr,it,sv,zh	https://en.wikipedia.org/wiki/Hamilton_Academical_F.C.	https://fi.wikipedia.org/wiki/Hamilton_Academical_FC	https://de.wikipedia.org/wiki/Hamilton_Academical	https://sv.wikipedia.org/wiki/Hamilton_Academical_FC	https://zh.wikipedia.org/wiki/%E5%92%B8%E7%BE%8E%E9%A1%BF%E5%AD%A6%E9%99%A2%E8%B6%B3%E7%90%83%E4%BF%B1%E4%B9%90%E9%83%A8	https://fr.wikipedia.org/wiki/Hamilton_Academical_Football_Club	https://es.wikipedia.org/wiki/Hamilton_Academical_Football_Club	https://ar.wikipedia.org/wiki/%D9%87%D8%A7%D9%85%D9%8A%D9%84%D8%AA%D9%88%D9%86_%D8%A3%D9%83%D8%A7%D8%AF%D9%8A%D9%85%D9%8A%D9%83%D8%A7%D9%84	X	https://it.wikipedia.org/wiki/Hamilton_Academical_Football_Club	X	X	https://cs.wikipedia.org/wiki/Hamilton_Academical_FC
https://zh.wikipedia.org/wiki/%E5%92%8C%E5%B9%B3%E5%8F%B7%E7%A9%BA%E9%97%B4%E7%AB%99	和平号空间站	ar,ca,cs,de,en,es,eu,fi,fr,hi,it,sv,zh	https://en.wikipedia.org/wiki/Mir	https://fi.wikipedia.org/wiki/Mir	https://de.wikipedia.org/wiki/Mir_(Raumstation)	https://sv.wikipedia.org/wiki/Mir	https://zh.wikipedia.org/wiki/%E5%92%8C%E5%B9%B3%E5%8F%B7%E7%A9%BA%E9%97%B4%E7%AB%99	https://fr.wikipedia.org/wiki/Mir_(station_spatiale)	https://es.wikipedia.org/wiki/Mir_(estaci%C3%B3n_espacial)	https://ar.wikipedia.org/wiki/%D9%85%D9%8A%D8%B1	https://hi.wikipedia.org/wiki/%E0%A4%AE%E0%A5%80%E0%A4%B0	https://it.wikipedia.org/wiki/Mir_(stazione_spaziale)	https://eu.wikipedia.org/wiki/Mir_(espazio_estazioa)	https://ca.wikipedia.org/wiki/Mir_(estaci%C3%B3_espacial)	https://cs.wikipedia.org/wiki/Mir
