	localized_url	lang	question	model_id	output_text	config_info	id	has_fluency_mistakes	has_factual_mistakes
0	https://ca.wikipedia.org/wiki/Chichester_(Nou_Hampshire)	CA	A quin estat d'Estats Units es troba la població de Chichester?	mistralai/Mistral-7B-Instruct-v0.3	Chichester no és una població estatunidenca, és una ciutat situada a Anglaterra, al Regne Unit.	k75_p0.95_t0.1	220	n	y
1	https://ca.wikipedia.org/wiki/Kalervo_Rauhala	CA	En quins Jocs Olímpics va obtenir la medalla de plata el lluitador finlandès Kalervo Rauhala?	occiglot/occiglot-7b-es-en-instruct	"Kalervo Rauhala va obtenir la medalla de plata en els Jocs Olímpics de 1952 a Hèlsinki.<|im_end|> 
"	k75_p0.95_t0.1	207	n	n
2	https://ca.wikipedia.org/wiki/Ethel_Smyth	CA	Qui va ser la primera compositora anglesa en ser reconeguda com a dama de l'Ordre de l'Imperi britànic el 1922?	occiglot/occiglot-7b-es-en-instruct	"La primera compositora anglesa en ser reconeguda com a dama de l'Ordre de l'Imperi britànic el 1922 va ser Ethel Smyth.<|im_end|> 
"	k75_p0.95_t0.1	378	n	n
3	https://ca.wikipedia.org/wiki/Hit_Man._Assass%C3%AD_per_casualitat	CA	"On es va projectar per primer cop la pel·lícula ""Hit Man. Assassí per casualitat""?"	mistralai/Mistral-7B-Instruct-v0.3	"La pel·lícula ""Hit Man. Assassí per casualitat"" es va projectar per primer cop el 2007."	k75_p0.95_t0.1	296	n	y
4	https://ca.wikipedia.org/wiki/Alo%C3%AFdes	CA	Com s'anomenen els gegants bessons aloïdes?	meta-llama/Meta-Llama-3-8B-Instruct	Els gegants bessons aloïdes es coneixen com a Castor i Pòl·lux.	k75_p0.95_t0.1	127	n	y
5	https://ca.wikipedia.org/wiki/Jaume_Dom%C3%A8nech_S%C3%A1nchez	CA	En quina posició juga Jaume Domènech Sánchez?	mistralai/Mistral-7B-Instruct-v0.3	Jaume Domènech Sánchez juga de porter.	k75_p0.95_t0.1	408	n	n
6	https://ca.wikipedia.org/wiki/Rosario_(Argentina)	CA	Quina és l'activitat principal de Rosario, Argentina?	meta-llama/Meta-Llama-3-8B-Instruct	L'activitat principal de Rosario, Argentina és el comerç i la indústria.	k75_p0.95_t0.1	409	n	y
7	https://ca.wikipedia.org/wiki/Vides_furtives	CA	"Com es va traduir el títol de la pel·lícula ""The Man Who Cried"" al català?"	occiglot/occiglot-7b-es-en-instruct	"La pel·lícula ""The Man Who Cried"" es va traduir al català com ""El home que vaig llorar"".<|im_end|> 
"	k75_p0.95_t0.1	328	y	y
8	https://ca.wikipedia.org/wiki/Domantas_Sabonis	CA	En quins clubs espanyols ha jugat el jugador de bàsquet Domantas Sabonis?	occiglot/occiglot-7b-es-en-instruct	"Domantas Sabonis ha jugat al FC Barcelona i al Real Madrid.<|im_end|> 
"	k75_p0.95_t0.1	155	n	y
9	https://ca.wikipedia.org/wiki/Ocupaci%C3%B3_del_Jap%C3%B3	CA	Quan es va signar el Tractat de San Francisco?	meta-llama/Meta-Llama-3-8B-Instruct	El Tractat de San Francisco es va signar el 8 de setembre de 1951.	k75_p0.95_t0.1	372	n	n
