primary_url	fi_url	title	languages	question	alt_question
https://en.wikipedia.org/wiki/David_F._Sandberg	https://fi.wikipedia.org/wiki/David_F._Sandberg	David F. Sandberg	en,fi,sv,zh,fr	Millä nimellä David Sandberg tunnetaan YouTubessa?	Kuka on David F. Sandbergin vaimo?
https://en.wikipedia.org/wiki/Nokia_E5-00	https://fi.wikipedia.org/wiki/Nokia_E5	Nokia E5	en,fr,fi	Kenen käyttöön Nokian E5-malli pääasiallisesti suunniteltiin?	Mikä on Nokian E5-puhelimen käyttöjärjestelmä?
https://en.wikipedia.org/wiki/Helsingin_Jalkapalloklubi	https://fi.wikipedia.org/wiki/Helsingin_Jalkapalloklubi	Helsingin Jalkapalloklubi	en,fi,sv,zh,fr	Kuka perusti Helsingin Jalkapalloklubin?	
https://en.wikipedia.org/wiki/Pet_store	https://fi.wikipedia.org/wiki/Lemmikkikauppa	Lemmikkikauppa	en,fr,fi,zh	Myydäänkö lemmikkikaupoissa eksoottisia lintuja ja matelijoita?
https://en.wikipedia.org/wiki/White-winged_chough	https://fi.wikipedia.org/wiki/Mutavaris	Mutavaris	en,fr,fi,sv	Mille alueille mutavariksen levinnäisyys ulottuu?
https://en.wikipedia.org/wiki/FC_Zhenis	https://fi.wikipedia.org/wiki/FK_Astana-1964	FK Astana-1964	en,fr,fi,zh	Mikä oli FK Astana-1964:n alkuperäinen nimi?	
https://en.wikipedia.org/wiki/Herpy-l%27Arl%C3%A9sienne	https://fi.wikipedia.org/wiki/Herpy-l%27Arlésienne	Herpy-l'Arlésienne	en,fi,sv,zh,fr	Missä Ranskan departementissa Herpy-l’Arlésienne sijaitsee?	Minkä joen varrella Herpy-l’Arlésienne sijaitsee?
https://en.wikipedia.org/wiki/Petra_van_Staveren	https://fi.wikipedia.org/wiki/Petra_van_Staveren	Petra van Staveren	en,fi,sv,zh,fr	Minkä lajin olympiavoittaja Petra van Straveren on?	Mikä on Petra van Straverenin oikea nimi?
https://en.wikipedia.org/wiki/Carl_L%C3%B6wenhielm	https://fi.wikipedia.org/wiki/Carl_Löwenhielm	Carl Löwenhielm	en,fr,fi,sv	Kuka oli Carl Löwenhielmin isä?	Missä kaupungissa Carl Löwenhielm syntyi?
https://en.wikipedia.org/wiki/Western_oriole	https://fi.wikipedia.org/wiki/Huilukuhankeittäjä	Western oriole	en,fr,fi,sv	Onko huilukuhankeittäjä uhanalainen laji?	Minkä eläinlajin edustaja on huilukuhankeittäjä?
https://en.wikipedia.org/wiki/White_Collar_(TV_series)	https://fi.wikipedia.org/wiki/Kovat_kaulassa	White Collar (TV series)	en,fi,sv,zh,fr	Kuka esitti erikoisagentti Peter Burkea sarjassa Kovat Kaulassa?	Kuka näytteli huijari Neal Caffreya sarjassa Kovat Kaulassa?
https://en.wikipedia.org/wiki/Ted_Lange	https://fi.wikipedia.org/wiki/Ted_Lange	Ted Lange	fr,fi	Kuka esitti baarinpitäjä Isaac Washingtonia televisiosarjassa Lemmenlaiva?	Missä televisiosarjassa Ted Lange esitti baarinpitäjä Isaac Washingtonia?
https://en.wikipedia.org/wiki/Chris_Claremont	https://fi.wikipedia.org/wiki/Chris_Claremont	Chris Claremont	en,fr,fi,sv	Mistä sarjakuvasarjasta Chris Claremont erityisesti tunnetaan?	
https://en.wikipedia.org/wiki/Hamilton_Academical_F.C.	https://fi.wikipedia.org/wiki/Hamilton_Academical_FC	Hamilton Academical F.C.	en,fi,sv,zh,fr	Mikä on Hamilton Academical FC:n kotikenttä?	Kuka perusti Hamilton Academical FC:n?
https://en.wikipedia.org/wiki/Swedish_Navy	https://fi.wikipedia.org/wiki/Ruotsin_merivoimat	Swedish Navy	en,fi,sv,zh,fr	Montako aselajia Ruotsin merivoimiin kuuluu?	Kuka toimii Ruotsin merivoimien komentajana?
https://en.wikipedia.org/wiki/Galicia_(Spain)	https://fi.wikipedia.org/wiki/Galicia	Galicia (Spain)	en,fi,sv,zh,fr	Mistä maakunnista Galicia koostuu?
https://zh.wikipedia.org/wiki/%E5%92%8C%E5%B9%B3%E5%8F%B7%E7%A9%BA%E9%97%B4%E7%AB%99	https://fi.wikipedia.org/wiki/Mir	和平号空间站	zh,en,fi,fr,sv	Mihin avaruusasemasarjaan Mir-avaruusasema perustui?	Montaako miehistön jäsentä Mir tyypillisesti majoitti?
https://zh.wikipedia.org/wiki/%E6%88%B4%E5%A4%AB%C2%B7%E5%BC%97%E8%98%AD%E7%A7%91	https://fi.wikipedia.org/wiki/Dave_Franco	戴夫·弗蘭科	zh,en,fi,fr,sv	Mikä oli Dave Francon läpimurtoelokuva?	Kuka on Dave Francon vaimo?
