primary_url	fi_url	title	languages	question	alt_question
https://en.wikipedia.org/wiki/David_F._Sandberg	https://fi.wikipedia.org/wiki/David_F._Sandberg	David F. Sandberg	en,fi,sv,zh,fr	Millä nimellä David Sandberg tunnetaan YouTubessa?	Kuka on David F. Sandbergin vaimo?
https://en.wikipedia.org/wiki/Nokia_E5-00	https://fi.wikipedia.org/wiki/Nokia_E5	Nokia E5	en,fr,fi	Kenen käyttöön Nokian E5-malli pääasiallisesti suunniteltiin?	Mikä on Nokian E5-puhelimen käyttöjärjestelmä?
https://en.wikipedia.org/wiki/Mouthier-Haute-Pierre	X	Mouthier-Haute-Pierre	en,fr,sv,zh		
https://en.wikipedia.org/wiki/Cyrtophora_moluccensis	X	Cyrtophora moluccensis	en,fr,sv,zh		
https://en.wikipedia.org/wiki/Cilleruelo_de_San_Mam%C3%A9s	X	Cilleruelo de San Mamés	en,fr,sv,zh		
https://en.wikipedia.org/wiki/Helsingin_Jalkapalloklubi	https://fi.wikipedia.org/wiki/Helsingin_Jalkapalloklubi	Helsingin Jalkapalloklubi	en,fi,sv,zh,fr	Kuka perusti Helsingin Jalkapalloklubin?	
https://en.wikipedia.org/wiki/Zonitoides	X	Zonitoides	en,sv,zh		
https://en.wikipedia.org/wiki/Gampel-Bratsch	X	Gampel-Bratsch	en,fr,sv,zh		
https://en.wikipedia.org/wiki/Pet_store	https://fi.wikipedia.org/wiki/Lemmikkikauppa	Lemmikkikauppa	en,fr,fi,zh	Myydäänkö lemmikkikaupoissa eksoottisia lintuja ja matelijoita?
https://en.wikipedia.org/wiki/Tilia_dasystyla	X	Tilia dasystyla	en,fr,sv		
https://en.wikipedia.org/wiki/White-winged_chough	https://fi.wikipedia.org/wiki/Mutavaris	Mutavaris	en,fr,fi,sv	Mille alueille mutavariksen levinnäisyys ulottuu?
https://en.wikipedia.org/wiki/Input%E2%80%93output_memory_management_unit	https://fi.wikipedia.org/wiki/IOMMU	IOMMU	en,fi,zh		
https://en.wikipedia.org/wiki/1997%E2%80%9398_Asian_Club_Championship	X	1997–98 Asian Club Championship	en,fr,zh		
https://en.wikipedia.org/wiki/FC_Zhenis	https://fi.wikipedia.org/wiki/FK_Astana-1964	FK Astana-1964	en,fr,fi,zh	Mikä oli FK Astana-1964:n alkuperäinen nimi?	
https://en.wikipedia.org/wiki/Herpy-l%27Arl%C3%A9sienne	https://fi.wikipedia.org/wiki/Herpy-l%27Arlésienne	Herpy-l'Arlésienne	en,fi,sv,zh,fr	Missä Ranskan departementissa Herpy-l’Arlésienne sijaitsee?	Minkä joen varrella Herpy-l’Arlésienne sijaitsee?
https://en.wikipedia.org/wiki/Irus_irus	X	Irus irus	en,sv,zh		
https://en.wikipedia.org/wiki/Petra_van_Staveren	https://fi.wikipedia.org/wiki/Petra_van_Staveren	Petra van Staveren	en,fi,sv,zh,fr	Minkä lajin olympiavoittaja Petra van Straveren on?	Mikä on Petra van Straverenin oikea nimi?
https://en.wikipedia.org/wiki/Paul_Egede	X	Paul Egede	en,fr,sv		
https://en.wikipedia.org/wiki/Argyrosomus_hololepidotus	X	Argyrosomus hololepidotus	en,sv,zh		
https://en.wikipedia.org/wiki/Carl_L%C3%B6wenhielm	https://fi.wikipedia.org/wiki/Carl_Löwenhielm	Carl Löwenhielm	en,fr,fi,sv	Kuka oli Carl Löwenhielmin isä?	Missä kaupungissa Carl Löwenhielm syntyi?
https://en.wikipedia.org/wiki/H%C3%BCffelsheim	X	Hüffelsheim	en,fr,sv,zh		
https://en.wikipedia.org/wiki/Steelville,_Missouri	X	Steelville, Missouri	en,fr,sv,zh		
https://en.wikipedia.org/wiki/Western_oriole	https://fi.wikipedia.org/wiki/Huilukuhankeittäjä	Western oriole	en,fr,fi,sv	Onko huilukuhankeittäjä uhanalainen laji?	Minkä eläinlajin edustaja on huilukuhankeittäjä?
https://en.wikipedia.org/wiki/White_Collar_(TV_series)	https://fi.wikipedia.org/wiki/Kovat_kaulassa	White Collar (TV series)	en,fi,sv,zh,fr	Kuka esitti erikoisagentti Peter Burkea sarjassa Kovat Kaulassa?	Kuka näytteli huijari Neal Caffreya sarjassa Kovat Kaulassa?
https://en.wikipedia.org/wiki/Dharma_name	X	Dharma name	en,fr,zh		
https://en.wikipedia.org/wiki/Ted_Lange	https://fi.wikipedia.org/wiki/Ted_Lange	Ted Lange	fr,fi	Kuka esitti baarinpitäjä Isaac Washingtonia televisiosarjassa Lemmenlaiva?	Missä televisiosarjassa Ted Lange esitti baarinpitäjä Isaac Washingtonia?
https://en.wikipedia.org/wiki/Chris_Claremont	https://fi.wikipedia.org/wiki/Chris_Claremont	Chris Claremont	en,fr,fi,sv	Mistä sarjakuvasarjasta Chris Claremont erityisesti tunnetaan?	
https://en.wikipedia.org/wiki/Bundesautobahn_73	X	Bundesautobahn 73	en,fr,sv		
https://en.wikipedia.org/wiki/Gianrico_Carofiglio	X	Gianrico Carofiglio	en,fr,sv		
