	fi_url	lang	question	model_id	output_text	title	has_fluency_mistakes	has_factual_mistakes
27	https://fi.wikipedia.org/wiki/Nižni_Tagil	FI	Millä alueella Nižni Tagil sijaitsee?	LumiOpen/Poro-34B-chat	Nizhni Tagil on kaupunki Uralin alueella Venäjällä. Se sijaitsee noin 400 kilometriä Moskovasta itään, ja se on osa Jekaterinburgin suurkaupunkialuetta. Kaupunki sijaitsee kaakkoon Uralvuoristosta, ja se on tärkeä rautateiden solmukohta ja teollisuuskeskus. Nizhni Tagil tunnetaan terästehtaistaan ja muista raskaista teollisuuslaitoksistaan, ja se on myös tärkeä kulttuurinen ja koulutuksellinen keskus alueella.	下塔吉尔	n	y
150	https://fi.wikipedia.org/wiki/Ruskopäävaris	FI	Tavataanko ruskopäävarista Suomessa?	LumiOpen/Poro-34B-chat	Kyllä, ruskopäävarista tavataan Suomessa. Se on yleinen lintu koko maassa, lukuun ottamatta pohjoisimpia osia. Ruskopäävaris on paikkalintu, eli se ei muuta pois Suomesta talveksi. Se on tunnettu sen älykkäästä käytöksestä ja uteliaasta luonteesta, ja se on suosittu lintuharrastajien ja valokuvaajien keskuudessa.	Ruskopäävaris	n	y
537	https://fi.wikipedia.org/wiki/Theano	FI	Mitkä keksinnöt luetaan Theanon suurimmiksi ansioiksi?	Finnish-NLP/llama-7b-finnish-instruct-v0.2	Theanon suurimpia keksintöjä ovat hänen panoksensa optiikkaan ja optiikan teoriaan. Hän kehitti ensimmäisen linssin, joka pystyi muuttamaan kuvan kokoa ja muotoa, ja hän kehitti ensimmäisen teleskoopin, joka pystyi tarkentamaan kuvia kaukaisiin kohteisiin. Hänen panoksensa optiikan teoriaan näkyy hänen työssään valon taittumisen ja dispersion, valon polarisaation ja valon interferenssin aloilla. 	Theano	n	y
484	https://fi.wikipedia.org/wiki/Domantas_Sabonis	FI	Mitä seuraa Domantas Sabonis edustaa?	Finnish-NLP/llama-7b-finnish-instruct-v0.2	Domantas Sabonis edustaa Liettuan tasavaltaa. 	Domantas Sabonis	n	n
524	https://fi.wikipedia.org/wiki/Karen_Percy	FI	Missä alppihiihdon lajeissa Karen Percy saavutti pronssimitalinsa vuoden 1988 olympialaisissa?	Finnish-NLP/llama-7b-finnish-instruct-v0.2	Pronssimitali saavutettiin alppihiihdon lajeissa suurpujottelussa ja pujottelussa. 	Karen Percy	y	y
394	https://fi.wikipedia.org/wiki/Dzjanis_Paljakou	FI	Mitä joukkuetta Dzjanis Paljakou edustaa?	Finnish-NLP/llama-7b-finnish-instruct-v0.2	Dzjanis Paljakou edustaa venäläistä jalkapallojoukkuetta Zenit Pietaria. 	Dzjanis Paljakou	m	y
184	https://fi.wikipedia.org/wiki/Nintendo_Classic_Mini	FI	Minkä muiden pelikonsolien ohjaimia Nintendo Classic Mini -pelikonsoli tukee?	LumiOpen/Poro-34B-chat	Nintendo Classic Mini -ohjain on suunniteltu toimimaan vain Nintendo Classic Mini -pelikonsolin kanssa. Se ei ole yhteensopiva muiden pelikonsolien, kuten PlayStationin, Xboxin tai Nintendo Switchin, kanssa. Jos kuitenkin etsit vaihtoehtoja klassisten Nintendo-pelien pelaamiseen, voit harkita emulaattoreiden käyttöä tietokoneellasi tai kannettavalla laitteellasi. Tämä antaa sinulle mahdollisuuden käyttää erilaisia ohjaimia, mukaan lukien mukautettuja vaihtoehtoja, jotka on suunniteltu jäljittelemään klassisia Nintendo-ohjaimia. Muista kuitenkin, että emulaattorit eivät välttämättä tarjoa samaa pelikokemusta kuin alkuperäinen konsoli.	Nintendo Classic Mini	n	n
214	https://fi.wikipedia.org/wiki/Ruotsin_merivoimat	FI	Montako aselajia Ruotsin merivoimiin kuuluu?	Finnish-NLP/llama-7b-finnish-instruct-v0.2	Ruotsin merivoimiin kuuluu yksi aselaji, laivasto. 	Swedish Navy	m	y
268	https://fi.wikipedia.org/wiki/Kaiser_Chiefs	FI	Onko Kaiser Chiefsin musiikkia käytetty videopeleissä?	Finnish-NLP/llama-7b-finnish-instruct-v0.2	"Kyllä, Kaiser Chiefsin musiikkia on käytetty videopeleissä. Yhtyeen musiikkia on käytetty muun muassa videopeleissä ""The Last Guy"", ""The Last of Us"" ja ""The Last of Us Part 2"". "	Kaiser Chiefs	n	y
231	https://fi.wikipedia.org/wiki/Synnytys	FI	Mitä tarkoitetaan raivotarjonnalla?	Finnish-NLP/llama-7b-finnish-instruct-v0.2	Raivotarjonnassa vauva on kohdussa pää alaspäin (kasvot äidin vatsaa kohti). Se on yleisin synnytysasento, ja noin 85 prosenttia vauvoista syntyy raivotarjonnassa. 	Förlossning	n	y
