url-idx	Primary Wikipedia URL	title	URL-hi	question
23	https://en.wikipedia.org/wiki/White_Collar_(TV_series)	White Collar (TV series)	https://hi.wikipedia.org/wiki/%E0%A4%B5%E0%A5%8D%E0%A4%B9%E0%A4%BE%E0%A4%87%E0%A4%9F_%E0%A4%95%E0%A5%89%E0%A4%B2%E0%A4%B0	वाइट कॉलर टीवी शृंख्ला में मुख़्य किरदार को जेल कैद क्यों होती है ?
34	https://en.wikipedia.org/wiki/Galicia_(Spain)	Galicia (Spain)	https://hi.wikipedia.org/wiki/%E0%A4%97%E0%A4%B2%E0%A4%BF%E0%A4%B6%E0%A4%BF%E0%A4%AF%E0%A4%BE_(%E0%A4%B8%E0%A5%8D%E0%A4%AA%E0%A5%87%E0%A4%A8)	गलिशिया यूरोप के किस देश का हिस्सा है ?
36	https://zh.wikipedia.org/wiki/%E5%92%8C%E5%B9%B3%E5%8F%B7%E7%A9%BA%E9%97%B4%E7%AB%99	和平号空间站	https://hi.wikipedia.org/wiki/%E0%A4%AE%E0%A5%80%E0%A4%B0	मीर अंतरिक्ष स्टेशन का प्रक्षेपण  किस देश ने किया है ?
37	https://zh.wikipedia.org/wiki/%E6%88%B4%E5%A4%AB%C2%B7%E5%BC%97%E8%98%AD%E7%A7%91	戴夫·弗蘭科	https://hi.wikipedia.org/wiki/%E0%A4%A1%E0%A5%87%E0%A4%B5_%E0%A4%AB%E0%A5%8D%E0%A4%B0%E0%A5%87%E0%A4%82%E0%A4%95%E0%A5%8B	डवे फ्रेंको अपने जीवनसाथी से मिलने के कितने समय बाद विवाह किया ?
56	https://zh.wikipedia.org/wiki/%E5%8A%9B	力	https://hi.wikipedia.org/wiki/%E0%A4%AC%E0%A4%B2_(%E0%A4%AD%E0%A5%8C%E0%A4%A4%E0%A4%BF%E0%A4%95%E0%A5%80)	गुरुत्वाकर्षण न्यूटन के किस गति के नियम पर आधारित है ?
63	https://sv.wikipedia.org/wiki/F%C3%B6rlossning	Förlossning	https://hi.wikipedia.org/wiki/%E0%A4%B8%E0%A4%A8%E0%A5%8D%E0%A4%A4%E0%A4%BE%E0%A4%A8_%E0%A4%AA%E0%A5%8D%E0%A4%B0%E0%A4%B8%E0%A4%B5	सामान्य मानव जन्म में पूरे कितने चरण होते है ?
76	https://en.wikipedia.org/wiki/Antenna_(biology)	Antenna (biology)	https://hi.wikipedia.org/wiki/%E0%A4%B6%E0%A5%83%E0%A4%82%E0%A4%97%E0%A4%BF%E0%A4%95%E0%A4%BE	शृंगिका का उपयोग किन किन कार्यो के लिए होता है ?
79	https://sv.wikipedia.org/wiki/Ludhiana	Ludhiana	https://hi.wikipedia.org/wiki/%E0%A4%B2%E0%A5%81%E0%A4%A7%E0%A4%BF%E0%A4%AF%E0%A4%BE%E0%A4%A8%E0%A4%BE	लुधियाना में कौन कौन रूचि के स्थल है ?
82	https://zh.wikipedia.org/wiki/%E8%85%A6%E6%80%A7%E9%BA%BB%E7%97%BA	腦性麻痺	https://hi.wikipedia.org/wiki/%E0%A4%AA%E0%A5%8D%E0%A4%B0%E0%A4%AE%E0%A4%B8%E0%A5%8D%E0%A4%A4%E0%A4%BF%E0%A4%B7%E0%A5%8D%E0%A4%95_%E0%A4%85%E0%A4%82%E0%A4%97%E0%A4%98%E0%A4%BE%E0%A4%A4	प्रमस्तिष्क अंगघात बीमारी को पहली बार किस चिकित्सक और कब पता लगाया था ?
85	https://fr.wikipedia.org/wiki/Khobar	Khobar	https://hi.wikipedia.org/wiki/%E0%A4%85%E0%A4%B2-%E0%A4%96%E0%A5%8B%E0%A4%AC%E0%A4%B0	अल-खोबर में कौन सी भारतीय संस्था स्थित है?
