index	url-idx	Primary Wikipedia URL	title	URL-hi	question	model_id	output_text
0	23	https://en.wikipedia.org/wiki/White_Collar_(TV_series)	White Collar (TV series)	https://hi.wikipedia.org/wiki/%E0%A4%B5%E0%A5%8D%E0%A4%B9%E0%A4%BE%E0%A4%87%E0%A4%9F_%E0%A4%95%E0%A5%89%E0%A4%B2%E0%A4%B0	वाइट कॉलर टीवी शृंख्ला में मुख़्य किरदार को जेल कैद क्यों होती है ?	nickmalhotra/ProjectIndus	सजायाफ्ता कैदियों को टेलीविज़न (टेलीविज़न) सीरीज़ 'जेल में बंद' के लिए वाइट कॉलर टीवी के रूप में पेश किया जाता है। वाइट कॉलर टेलीविज़न शृंखला में मुख़्य किरदार में पुलिस (पुलिस जे) द्वारा बन्दी बनाये जाने पर जेल से बचने के लिए उन्हें शारीरिक व मानसिक रूप से अक्षम दिखाया गया है। 'जेल में बंद' कहानी कहने का एक अनूठा माध्यम है, क्योंकि यह एक जेल में कैदी की स्थिति को दर्शाता है। जेल में कैदी के रूप में एक कैदी के जीवन के आसपास केंद्रित है। कैदी को जेल में किसी अपराध के लिए दोषी ठहराया गया है और वह अब अपनी सजा का काट रहा है। वाइट कॉलर टीवी सीरीज़ में एक जेल में कैदी की स्थिति को दर्शाया गया है, जिसमें एक कैदी का जीवन दिन-प्रति-दिन चलता रहता है और उसकी मानसिक, शारीरिक और भावनात्मक समस्याएं कैदी पर उनके अपने नियंत्रण से परे रहती हैं। कुल मिलाकर, वाइट कॉलर टीवी सीरीज़ में मुख्य पात्रों में से एक को जेल कैद के रूप में दर्शाया गया है, जो वास्तविकता के अनुरूप है। कैदी को जेल में कैद कर दिया गया है, जिसमें उसे जेल अधिकारियों, डॉक्टरों और समाज द्वारा निभाई गई एक भ्रष्ट और हिंसक भूमिका के लिए दोषी ठहराया गया है। यह जेल में कैद कहानी के सार का प्रतिबिंब है, और उस जेल जीवन का समाज और दुनिया के लिए एक संदेश प्रदान करता है।
1	34	https://en.wikipedia.org/wiki/Galicia_(Spain)	Galicia (Spain)	https://hi.wikipedia.org/wiki/%E0%A4%97%E0%A4%B2%E0%A4%BF%E0%A4%B6%E0%A4%BF%E0%A4%AF%E0%A4%BE_(%E0%A4%B8%E0%A5%8D%E0%A4%AA%E0%A5%87%E0%A4%A8)	गलिशिया यूरोप के किस देश का हिस्सा है ?	nickmalhotra/ProjectIndus	घलंडिया के पास स्वीडन, कोरिया और मेक्सिको के साथ भूमि विवाद है, जैसा कि २००८ में कोनकेड द्वारा प्रकाशित किया गया था।
2	36	https://zh.wikipedia.org/wiki/%E5%92%8C%E5%B9%B3%E5%8F%B7%E7%A9%BA%E9%97%B4%E7%AB%99	和平号空间站	https://hi.wikipedia.org/wiki/%E0%A4%AE%E0%A5%80%E0%A4%B0	मीर अंतरिक्ष स्टेशन का प्रक्षेपण  किस देश ने किया है ?	nickmalhotra/ProjectIndus	मीर अंतरिक्ष स्टेशन का प्रक्षेपण चीन ने किया है।
3	37	https://zh.wikipedia.org/wiki/%E6%88%B4%E5%A4%AB%C2%B7%E5%BC%97%E8%98%AD%E7%A7%91	戴夫·弗蘭科	https://hi.wikipedia.org/wiki/%E0%A4%A1%E0%A5%87%E0%A4%B5_%E0%A4%AB%E0%A5%8D%E0%A4%B0%E0%A5%87%E0%A4%82%E0%A4%95%E0%A5%8B	डवे फ्रेंको अपने जीवनसाथी से मिलने के कितने समय बाद विवाह किया ?	sarvamai/OpenHathi-7B-Hi-v0.1-Base	डवे फ्रेंको अपने जीवनसाथी से मिलने के कितने समय बाद विवाह किया ? Answer: --- डव फ्रेंक ने 1998 में अपनी पत्नी से शादी की।
4	63	https://sv.wikipedia.org/wiki/F%C3%B6rlossning	Förlossning	https://hi.wikipedia.org/wiki/%E0%A4%B8%E0%A4%A8%E0%A5%8D%E0%A4%A4%E0%A4%BE%E0%A4%A8_%E0%A4%AA%E0%A5%8D%E0%A4%B0%E0%A4%B8%E0%A4%B5	सामान्य मानव जन्म में पूरे कितने चरण होते है ?	nickmalhotra/ProjectIndus	सामान्य मानव जन्म में पूरे एक चरण होते हैं ।
5	76	https://en.wikipedia.org/wiki/Antenna_(biology)	Antenna (biology)	https://hi.wikipedia.org/wiki/%E0%A4%B6%E0%A5%83%E0%A4%82%E0%A4%97%E0%A4%BF%E0%A4%95%E0%A4%BE	शृंगिका का उपयोग किन किन कार्यो के लिए होता है ?	nickmalhotra/ProjectIndus	शृंगिका का उपयोग मुख्य रूप से संगीत में किया जाता है। इसका उपयोग विभिन्न प्रकार के वाद्ययंत्रों जैसे ढोल, तबला, हारमोनियम, वायलिन, बांसुरी आदि के लिए किया जाता है। १. ढोलः ढोल एक वाद्य यंत्र है जिसका उपयोग विभिन्न प्रकार के वाद्ययंत्रों जैसे ढोल, तबला, हारमोनियम, वायलिन, बांसुरी आदि के लिए किया जाता है। २. तबलाः तबला एक वाद्य यंत्र है जिसका उपयोग विभिन्न प्रकार के वाद्ययंत्रों जैसे ढोल, तबला, हारमोनियम, वायलिन, बांसुरी आदि के लिए किया जाता है। ३. हारमोनियमः हारमोनियम एक वाद्य यंत्र है जिसका उपयोग विभिन्न प्रकार के वाद्ययंत्रों जैसे ढोल, तबला, हारमोनियम, वायलिन, बांसुरी आदि के लिए किया जाता है। ४. वायलिनः वायलिन एक वाद्य यंत्र है जिसका उपयोग विभिन्न प्रकार के वाद्ययंत्रों जैसे ढोल, तबला, हारमोनियम, वायलिन, बांसुरी आदि के लिए किया जाता है। ५. बांसुरी एक वाद्य यंत्र है जिसका उपयोग विभिन्न प्रकार के वाद्ययंत्रों जैसे ढोल, तबला, हारमोनियम, वायलिन, बांसुरी आदि के लिए किया जाता है। ६. हारमोनियमः हारमोनियम एक वाद्य यंत्र है जिसका उपयोग विभिन्न प्रकार के वाद्ययंत्रों जैसे ढोल, तबला, हारमोनियम, वायलिन, बांसुरी आदि के लिए किया जाता है। ७. हारमोनियमः हारमोनियम एक वाद्य यंत्र है जिसका उपयोग विभिन्न प्रकार के वाद्ययंत्रों जैसे ढोल, तबला, हारमोनियम, वायलिन, बांसुरी आदि के लिए किया जाता है। ८. हारमोनियमः हारमोनियम एक वाद्य यंत्र है जिसका उपयोग विभिन्न प्रकार के वाद्ययंत्रों जैसे ढोल, तबला, हारमोनियम, वायलिन, बांसुरी आदि के लिए किया जाता है। ९. हारमोनियमः हारमोनियम एक वाद्य यंत्र है जिसका उपयोग विभिन्न प्रकार के वाद्ययंत्रों जैसे ढोल, तबला, हारमोनियम, वायलिन, बांसुरी आदि के लिए किया जाता है। १०. हारमोनियमः हारमोनियम एक वाद्य यंत्र है जिसका उपयोग विभिन्न प्रकार के वाद्ययंत्रों जैसे ढोल, तबला, हारमोनियम, वायलिन, बांसुरी आदि के लिए किया जाता है। ११. हारमोनियमः हारमोनियम एक वाद्य यंत्र है जिसका उपयोग विभिन्न प्रकार के वाद्ययंत्रों जैसे ढोल, तबला, हारमोनियम, वायलिन, बांसुरी आदि के लिए किया जाता है। १२. हारमोनियमः हारमोनियम एक वाद्य यंत्र है जिसका उपयोग विभिन्न प्रकार के वाद्ययंत्रों जैसे ढोल, तबला, हारमोनियम, वायलिन, बांसुरी आदि के लिए किया जाता है। १३. हारमोनियमः हारमोनियम एक वाद्य यंत्र है जिसका उपयोग विभिन्न प्रकार के वाद्ययंत्रों जैसे ढोल, तबला, हारमोनियम, वायलिन, बांसुरी आदि के लिए किया जाता है। १४. हारमोनियमः हारमोनियम एक वाद्य यंत्र है जिसका उपयोग विभिन्न प्रकार के वाद्ययंत्रों जैसे 
6	82	https://zh.wikipedia.org/wiki/%E8%85%A6%E6%80%A7%E9%BA%BB%E7%97%BA	腦性麻痺	https://hi.wikipedia.org/wiki/%E0%A4%AA%E0%A5%8D%E0%A4%B0%E0%A4%AE%E0%A4%B8%E0%A5%8D%E0%A4%A4%E0%A4%BF%E0%A4%B7%E0%A5%8D%E0%A4%95_%E0%A4%85%E0%A4%82%E0%A4%97%E0%A4%98%E0%A4%BE%E0%A4%A4	प्रमस्तिष्क अंगघात बीमारी को पहली बार किस चिकित्सक और कब पता लगाया था ?	nickmalhotra/ProjectIndus	प्रमस्तिष्क अंगघात बीमारी को पहली बार १८८२ में जॉन हॉपकिन्स द्वारा पता लगाया गया था। यह बीमारी मस्तिष्क के ऊतकों में रक्तस्राव के कारण होती है, जिसे रक्तस्रावी मस्तिष्कशोथ के रूप में जाना जाता है।
7	85	https://fr.wikipedia.org/wiki/Khobar	Khobar	https://hi.wikipedia.org/wiki/%E0%A4%85%E0%A4%B2-%E0%A4%96%E0%A5%8B%E0%A4%AC%E0%A4%B0	अल-खोबर में कौन सी भारतीय संस्था स्थित है?	nickmalhotra/ProjectIndus	अल-खोबर में केंद्रीय कृषि विश्वविद्यालय स्थित है।
8	103	https://en.wikipedia.org/wiki/Kremlin_(fortification)	Kremlin (fortification)	https://hi.wikipedia.org/wiki/%E0%A4%95%E0%A5%8D%E0%A4%B0%E0%A5%87%E0%A4%AE%E0%A4%B2%E0%A4%BF%E0%A4%A8	मास्को स्थित दुर्ग किस रंग के ईटो से बनाई गयी दीवारों से घिरा हुआ है?	nickmalhotra/ProjectIndus	मास्को स्थित दुर्ग सफेद ईटो से बनाई गई दीवारों से घिरा हुआ है। मास्को स्थित दुर्ग को ज़हरीली गैस वाले रॉकेट से नष्ट कर दिया गया था।
9	111	https://fr.wikipedia.org/wiki/Diab%C3%A8te_de_type_2	Diabète de type 2	https://hi.wikipedia.org/wiki/%E0%A4%AE%E0%A4%A7%E0%A5%81%E0%A4%AE%E0%A5%87%E0%A4%B9_%E0%A4%9F%E0%A4%BE%E0%A4%87%E0%A4%AA_2	आईसीडी १० E ११ का मुख्य कारण क्या है ?	nickmalhotra/ProjectIndus	आईसीडी १० ई ११ का मुख्य कारण पर्यावरणीय क्षरण है।
