,URL-idx,title,Link in Arabic,AR questions
0,36.0,Galicia (Spain),https://ar.wikipedia.org/wiki/جليقية_(منطقة),كم عدد المقاطعات في جليقية؟
2,39.0,戴夫·弗蘭科,https://ar.wikipedia.org/wiki/ديف_فرانكو,هل شارك ديف فرانكو في  فيلم ليغو؟
3,42.0,紅牛體育場 (薩爾斯堡),https://ar.wikipedia.org/wiki/ريد_بل_أرينا_(زالتسبورغ),ما يميز ملعب والز سيزينهيم عن باقي الملاعب في النمسا؟
4,53.0,饶舌者钱斯,https://ar.wikipedia.org/wiki/تشانس_ذا_رابر,ما هو الاسم الكامل لتشانسلور جونثان بنيت في الوسط الفني؟
8,32.0,Hamilton Academical F.C.,https://ar.wikipedia.org/wiki/هاميلتون_أكاديميكال,متى تأسس نادي هاميلتون أكاديميكال؟
10,40.0,制裁者 (電視劇),https://ar.wikipedia.org/wiki/المعاقب_(مسلسل),"على أي منصة عرض مسلسل ""المعاقِب""؟"
11,47.0,Edu Manga,https://ar.wikipedia.org/wiki/إديو_مانغا,مع أي منتخب يلعب إديو مانغا؟
12,63.0,Toruń,https://ar.wikipedia.org/wiki/تورون,على أي نهر تقع مدينة تورون؟
13,64.0,Gregory III Laham,https://ar.wikipedia.org/wiki/غريغوريوس_الثالث_لحام,من خلف غريغوريوس الثالث لحام في منصب البطريرك؟
14,67.0,Jef Raskin,https://ar.wikipedia.org/wiki/جف_راسكين,من بدأ مشروع ماكنتوش لشركة أبل؟
16,105.0,Kremlin (fortification),https://ar.wikipedia.org/wiki/كرملين_(حصن),كيف كان يتم استخدام الكرملين في روسيا القديمة؟
17,167.0,Bruce Sterling,https://ar.wikipedia.org/wiki/بروس_سترلينغ,عن أي رواية حصل بروس سترلينغ على جائزة هوغو؟
18,174.0,Johnny Cash,https://ar.wikipedia.org/wiki/جوني_كاش,من كانت زوجة جوني كاش الثانية؟
20,22.0,Hüffelsheim,https://ar.wikipedia.org/wiki/هوفلسهايم,إلى أي محافظة تتبع هوففلسهايم؟
21,28.0,Chris Claremont,https://ar.wikipedia.org/wiki/كريس_كليرمونت,"كم استمرت فترة كريس كليرمونت في كتابة سلسلة  ""Uncanny X-Men""؟"
26,56.0,瓦爾里科 (佛羅里達州),https://ar.wikipedia.org/wiki/فالريكو,ما هو الارتفاع عن سطح البحر لمنطقة فالريكو؟
31,122.0,695年,https://ar.wikipedia.org/wiki/695, ما هو اليوم الذي بدأت به سنة 695 ميلاديًا؟
33,275.0,卡齐纳州,https://ar.wikipedia.org/wiki/ولاية_كاتسينا,ما هي اللغة المستخدمة بشكل واسع في ولاية كاتسينا إلى جانب اللغة الرسمية؟
37,27.0,Ted Lange,https://ar.wikipedia.org/wiki/تيد_لانج,أين تعلم تيد لانج؟
39,48.0,卢格杜努姆,https://ar.wikipedia.org/wiki/لوغدونوم,من هو القنصل الذي بنى لوغدونوم؟
44,116.0,波西縣 (印第安納州),https://ar.wikipedia.org/wiki/مقاطعة_بوسي_(إنديانا),متى تأسست مقاطعة بوسي؟
45,144.0,Windows Neptune,https://ar.wikipedia.org/wiki/ويندوز_نبتون,ما هو الاسم الرمزي النهائي للنظام الأساسي الخاص بويندوز؟
46,179.0,Takara,https://ar.wikipedia.org/wiki/تاكارا_(شركة),متى أعلنت شركة تاكارا حلها؟
47,313.0,吉列体育场,https://ar.wikipedia.org/wiki/ملعب_جيليت,ما هي الفرق التي تعتبر ملعب جيليت ملعبها الرسمي؟
51,44.0,蓬佐内,https://ar.wikipedia.org/wiki/بونزوني,في أي مقاطعة تقع بونزوني؟
70,382.0,Marcelinho Carioca,https://ar.wikipedia.org/wiki/مارسيلينهو_كاريوكا,ما هي مهنة مارسيلينهو كاريوكا السابقة؟
84,716.0,नहावंद,,ما هي اللغة المحلية التي يتحدث بها سكان مدينة نهاوند؟
85,721.0,प्याज,,ما هي الروائح التي تميز البصل وما السبب وراءها؟
86,726.0,ओदिसी,,من هي الإلهة التي كانت تحمي أوديسيوس وتساعده؟
87,734.0,आल्मेरिया प्रान्त,,ما هي عاصمة مقاطعة المرية؟
88,736.0,क्रिस कोल्फर,,ما هي المسرحية التي كتبها وأخرجها كريس كولفر في مرحلته الثانوية؟
89,737.0,इन्जेनुइटी,,كيف تم اختبار مروحية إنجينويتي على الأرض؟
90,738.0,एस्पेरेन्स,,أين تقع إسبيرانس؟
91,743.0,कुनर नदी,,ما هو مصدر المياه الرئيسي لنهر كونر؟
92,745.0,नोरा फतेही,,ما هي الأصول العرقية لنورة فتحي؟
93,746.0,दखमा,,أين تقع أبراج الصمت بالنسبة للتضاريس الجغرافية؟
94,748.0,बुकर टी वाशिंगटन,,ما هو المرض الذي عانى منه بوكر تي واشنطن وتوفي بسببه؟
95,752.0,पामिटोलेइक अम्ल,,ما هي الصيغة الكيميائية لحمض البالميتولييك؟
96,754.0,त्रुओन्ग तन्सन्ग्,,متى أصبح ترونج تان سانج رئيسًا لدولة فيتنام؟
97,759.0,बान्दुन्दु प्रान्त,,ما هي أكبر بحيرة في محافظة بانداندو؟
98,761.0,बेटिना हेनेन-आयेच,,ما هي جنسية بتينا هاينن عياش؟
115,718.0,सुलतानपुर जिला,,ما هي الدولة التي تقع فيها منطقة سلطان بور؟
116,725.0,جغرافيا البرازيل,,كيف يختلف المناخ في البرازيل بين الشمال والجنوب؟
117,728.0,وادي فرغانة,,ما هي الدول التي تتقاسم وادي فرغانة؟
118,731.0,طيران سريويجايا الرحلة 182,,ماذا حدث لطائرة طيران سريويجايا الرحلة 182 بعد إقلاعها؟
119,735.0,मैग्नस गूस्ताफ्सन,,ما هي الرياضة التي كان يلعبها ماغنوس غوستافسون؟
120,739.0,अकीको मोरिगामी,,بأي يد كانت تلعب كيكو موريجامي؟
